County of Residence,Deaths,Number of Cases,Recoveries,Active
Harris,183,8416,3213,4784
Dallas,148,6359,2699,3279
Tarrant,109,3810,809,2832
Travis,71,2235,760,1346
Bexar,57,1942,1028,835
El Paso,33,1413,719,596
Fort Bend,40,1404,240,1124
Potter,16,1327,213,949
Denton,25,968,523,398
Collin,29,963,623,287
Montgomery,17,742,257,450
Galveston,29,688,416,241
Brazoria,9,686,349,315
Lubbock,50,605,328,220
Cameron,25,544,297,207
Moore,9,521,237,289
Webb,17,444,223,197
Randall,4,413,124,252
Hidalgo,8,403,233,153
Jefferson,26,399,233,126
Williamson,16,397,223,143
Walker,2,393,161,179
Brazos,18,287,122,138
Bell,3,231,144,76
Nacogdoches,9,224,113,99
Ellis,11,221,114,91
Coryell,2,217,21,188
Hays,3,214,142,59
Taylor,6,213,212,0
Harrison,9,192,69,111
Smith,3,185,126,48
Washington,22,175,36,112
Nueces,3,174,80,64
Shelby,5,163,87,66
Victoria,6,150,114,30
Panola,8,149,65,76
Gregg,0,136,63,69
Kaufman,1,133,65,61
Bastrop,2,120,37,78
Angelina,1,117,30,86
Rockwall,4,116,49,60
Hardin,3,115,82,30
Grayson,0,112,48,57
Midland,12,112,35,60
Johnson,4,110,52,51
Lamar,4,104,42,50
Jones,0,101,11,85
Ector,4,100,74,22
Guadalupe,0,99,65,34
McLennan,4,96,86,4
Deaf Smith,2,92,22,44
Orange,2,84,57,26
Bowie,2,82,60,18
Gray,0,77,33,43
Wichita,2,76,52,21
Liberty,1,72,34,35
Comal,6,68,55,4
Gonzales,2,62,10,47
Matagorda,3,62,53,6
Titus,0,59,13,24
Tom Green,1,59,41,17
Hunt,3,58,43,12
Grimes,1,54,8,33
Brown,7,51,18,14
Anderson,0,50,19,31
Chambers,0,50,42,8
Henderson,0,47,21,25
Parker,0,47,22,23
Medina,2,45,15,21
Wharton,0,42,33,9
Maverick,0,41,14,27
Hale,4,40,24,11
Ochiltree,1,40,18,10
Polk,0,40,16,24
Rusk,1,40,28,11
Navarro,2,37,25,9
Waller,0,37,27,11
Calhoun,3,36,24,9
Wilson,4,36,24,8
Wise,2,35,11,18
Frio,0,34,3,31
Caldwell,0,33,7,24
Dawson,1,32,17,12
Burnet,0,28,12,16
Mason,0,28,4,24
Red River,0,28,1,26
Atascosa,1,27,13,13
Cherokee,1,27,12,10
Fayette,1,26,9,16
Donley,0,25,23,2
Hutchinson,0,25,11,11
Castro,1,24,11,11
Fannin,1,24,15,7
Hockley,1,23,17,2
Sherman,0,23,11,12
Andrews,0,22,17,5
Hood,3,22,14,4
Parmer,0,22,5,16
San Augustine,1,22,11,10
San Patricio,0,22,12,10
Van Zandt,1,22,12,5
Hill,1,21,9,11
Houston,0,21,4,10
Kendall,0,20,15,5
Milam,1,20,12,7
Pecos,0,20,7,12
Jasper,1,19,10,8
