County of Residence,Deaths,Number of Cases
Harris,84,5482
Dallas,77,2834
Tarrant,48,1706
Travis,32,1379
Bexar,43,1195
Fort Bend,21,905
El Paso,10,706
Denton,19,680
Collin,16,639
Galveston,21,522
Montgomery,9,496
Lubbock,40,494
Brazoria,3,417
Cameron,14,354
Webb,12,338
Hidalgo,4,299
Potter,6,280
Jefferson,18,243
Williamson,5,206
Taylor,3,203
Moore,3,192
Brazos,16,181
Bell,3,165
Walker,2,164
Randall,3,149
Hays,1,148
Smith,3,131
Ellis,5,127
Nacogdoches,6,115
Victoria,2,114
Coryell,1,104
Washington,11,103
Hardin,3,92
Nueces,1,92
Shelby,0,86
McLennan,4,81
Kaufman,0,71
Midland,5,70
Panola,1,70
Harrison,1,69
Bowie,1,67
Ector,4,67
Guadalupe,0,67
Orange,0,64
Wichita,2,62
Matagorda,3,59
Gregg,0,58
Bastrop,2,57
Johnson,1,57
Rockwall,0,51
Comal,6,48
Chambers,0,41
Tom Green,1,41
Hunt,2,38
Liberty,0,38
Angelina,0,36
Wharton,0,36
Gray,0,35
Rusk,1,30
Navarro,2,28
Waller,0,28
Calhoun,2,26
Wilson,2,26
Donley,0,24
Parker,0,24
Grayson,0,22
Henderson,0,22
Deaf Smith,0,21
Hockley,1,20
Andrews,0,19
Hale,4,19
Medina,2,19
Dawson,1,18
Polk,0,18
Brown,1,17
Anderson,0,16
Hood,2,16
Kendall,0,16
Maverick,0,16
San Augustine,1,16
De Witt,1,15
Fannin,0,15
Hill,1,15
Titus,0,15
Wise,2,15
Atascosa,1,14
Burnet,0,14
Fayette,1,14
Castro,1,13
Grimes,1,13
Jones,0,13
Milam,1,13
Upshur,0,13
Van Zandt,1,13
Willacy,1,13
Austin,0,12
Cass,0,12
Cherokee,1,12
Erath,1,12
San Patricio,0,12
Val Verde,0,12
Burleson,0,11
Hutchinson,0,11
Limestone,1,11
Sherman,0,11
Caldwell,0,10
Colorado,0,10
Jasper,0,10
Terry,0,10
Dallam,1,8
Gonzales,1,8
Kleberg,1,8
Lamar,0,8
Pecos,0,8
San Jacinto,0,8
Trinity,0,8
Palo Pinto,1,7
Starr,0,7
Swisher,0,7
Wood,0,7
Zapata,0,7
Blanco,0,6
Camp,0,6
Goliad,0,6
Jackson,0,6
Marion,0,6
Montague,1,6
Tyler,0,6
Uvalde,0,6
Bee,0,5
Hamilton,0,5
Kerr,0,5
Lavaca,1,5
Leon,0,5
Live Oak,0,5
Lynn,1,5
Morris,0,5
Ochiltree,1,5
Bandera,0,4
Cooke,0,4
Hansford,0,4
Hartley,0,4
Hopkins,0,4
Houston,0,4
Howard,1,4
Jack,0,4
Parmer,0,4
Young,1,4
Bosque,0,3
Clay,0,3
Comanche,0,3
Eastland,0,3
Floyd,0,3
Freestone,0,3
Frio,0,3
Jim Wells,0,3
Karnes,0,3
Llano,0,3
McCulloch,0,3
Oldham,1,3
Wheeler,0,3
Winkler,0,3
Aransas,0,2
Armstrong,0,2
Crane,0,2
Crosby,1,2
Duval,0,2
Gaines,0,2
Lamb,0,2
Lampasas,0,2
Lee,0,2
Madison,0,2
Martin,0,2
Newton,0,2
Rains,0,2
Roberts,0,2
Robertson,0,2
Scurry,0,2
Brooks,0,1
Callahan,0,1
Carson,0,1
Childress,0,1
Cochran,0,1
Concho,0,1
Delta,0,1
Dickens,0,1
Dimmit,0,1
Falls,0,1
Franklin,0,1
Gillespie,0,1
Hemphill,0,1
Jim Hogg,0,1
Knox,0,1
La Salle,0,1
Mason,0,1
Mitchell,0,1
Motley,0,1
Nolan,0,1
Red River,0,1
Sabine,0,1
Stephens,0,1
Wilbarger,0,1
Yoakum,0,1
Zavala,0,1
