County of Residence,Deaths,Number of Cases,Recoveries,Active
Harris,210,10095,3914,6054
Dallas,191,7904,4029,4098
Tarrant,132,4711,1716,3141
Travis,82,2644,925,1684
Bexar,63,2322,1164,1136
Potter,24,2196,358,1815
El Paso,57,2046,1106,830
Fort Bend,40,1621,433,1159
Denton,28,1161,592,625
Collin,31,1090,740,441
Montgomery,21,861,331,526
Brazoria,11,805,407,388
Galveston,31,721,446,253
Cameron,32,664,418,208
Lubbock,50,639,415,201
Randall,5,625,150,468
Moore,13,579,373,194
Williamson,20,513,280,211
Webb,18,498,301,176
Hidalgo,10,467,264,203
Jefferson,27,465,281,186
Walker,27,430,254,272
Brazos,18,362,165,163
Bell,3,282,150,138
Grayson,1,268,76,130
Ellis,12,266,156,112
Nueces,3,256,127,122
Hays,3,250,155,85
Nacogdoches,17,244,162,66
Coryell,2,226,28,197
Taylor,5,224,179,45
Harrison,22,217,131,55
Smith,4,195,145,44
Titus,2,189,20,120
Washington,22,187,41,126
Gregg,4,180,96,76
Shelby,5,180,114,60
Bowie,5,176,70,105
Kaufman,2,173,88,88
Angelina,2,168,54,102
Panola,19,164,114,32
Bastrop,2,161,44,106
Victoria,7,157,130,20
Rockwall,9,147,80,74
Johnson,4,144,80,82
Deaf Smith,7,141,35,97
Jones,0,134,68,49
Ector,4,130,81,41
Lamar,9,126,58,60
Midland,12,123,43,76
Hardin,4,121,100,19
Guadalupe,0,116,81,37
McLennan,4,102,90,19
Gray,1,95,60,34
Maverick,1,94,23,69
Grimes,1,91,11,77
Gonzales,2,90,24,62
Orange,2,89,71,24
Wichita,2,82,61,25
Houston,0,81,7,74
Liberty,3,81,43,37
Comal,6,78,56,22
Hunt,3,71,45,25
Parker,1,67,37,35
Medina,2,64,17,7
Anderson,0,63,32,30
Matagorda,5,63,57,2
Tom Green,1,63,52,9
Chambers,0,58,47,11
Brown,7,55,30,19
Polk,0,52,19,31
Henderson,0,51,29,21
Hale,4,50,34,11
Waller,0,45,33,13
Wharton,0,45,39,7
Cherokee,2,44,17,19
Red River,4,42,1,39
Rusk,2,42,36,4
Wise,2,42,22,11
Caldwell,0,41,7,32
Ochiltree,3,41,20,18
Navarro,2,40,28,10
Dawson,1,39,25,19
Parmer,0,39,11,28
Wilson,5,38,28,6
Calhoun,3,37,29,5
Atascosa,1,35,18,16
Frio,0,35,8,27
Camp,0,32,7,23
Fayette,2,31,10,19
Hutchinson,0,31,17,17
Mason,0,31,22,9
Burnet,0,29,14,16
Castro,1,29,17,10
Fannin,2,29,18,9
San Augustine,1,28,14,11
San Patricio,0,28,19,7
Hockley,1,27,18,8
Milam,1,27,19,7
Donley,0,26,25,1
Jasper,1,26,15,10
Van Zandt,1,25,16,9
Kendall,0,24,16,12
Pecos,0,24,12,10
Hill,1,23,11,11
Hood,3,23,15,7
Sherman,0,23,16,7
Andrews,0,22,21,2
Starr,0,22,9,13
Wood,1,22,10,12
Austin,0,21,14,5
Cass,0,21,16,5
Burleson,0,20,3,18
Colorado,0,19,11,5
Dallam,0,18,9,9
Hansford,2,18,7,8
Limestone,1,18,8,8
Upshur,0,18,15,3
DeWitt,1,17,14,2
Jackson,1,16,12,1
Erath,1,15,12,6
Marion,0,15,13,2
Morris,0,15,8,6
Swisher,0,15,10,5
Wheeler,0,15,10,5
Willacy,1,15,11,3
Kleberg,1,14,8,5
Cooke,0,13,9,6
San Jacinto,0,13,10,3
