County of Residence,Deaths,Number of Cases
Harris,150,7244
Dallas,123,4869
Tarrant,88,2813
Travis,57,1946
Bexar,53,1761
Fort Bend,32,1287
El Paso,23,1119
Potter,15,971
Denton,22,846
Collin,22,839
Montgomery,15,672
Galveston,28,669
Brazoria,7,588
Lubbock,47,575
Cameron,19,469
Moore,6,454
Webb,17,410
Hidalgo,7,359
Williamson,12,341
Jefferson,23,336
Randall,3,333
Walker,2,315
Brazos,17,232
Bell,3,213
Taylor,6,206
Nacogdoches,7,202
Coryell,2,201
Ellis,10,188
Hays,1,176
Harrison,6,167
Smith,3,165
Washington,18,153
Victoria,5,146
Shelby,4,144
Panola,3,139
Nueces,3,117
Hardin,3,113
Gregg,0,109
Bastrop,2,107
Kaufman,1,106
Johnson,4,97
Rockwall,3,96
Midland,9,94
Angelina,0,93
McLennan,4,92
Ector,4,90
Guadalupe,0,90
Jones,0,84
Orange,2,81
Bowie,2,76
Lamar,0,76
Gray,0,73
Wichita,2,70
Matagorda,3,62
Comal,6,61
Grayson,0,60
Tom Green,1,58
Hunt,3,54
Liberty,1,48
Chambers,0,47
Parker,0,43
Deaf Smith,0,41
Anderson,0,40
Rusk,1,40
Wharton,0,40
Brown,6,38
Hale,4,37
Waller,0,37
Calhoun,3,34
Henderson,0,34
Navarro,2,34
Wilson,4,34
Gonzales,2,31
Dawson,1,30
Polk,0,30
Mason,0,28
Ochiltree,1,28
Wise,2,28
Titus,0,27
Maverick,0,26
Caldwell,0,25
Donley,0,25
Frio,0,25
Grimes,1,25
Burnet,0,24
Fannin,1,23
Atascosa,1,22
Castro,1,22
Andrews,0,21
Medina,2,21
San Augustine,1,21
Cherokee,1,20
Fayette,1,19
Hockley,1,19
Hood,3,19
Hutchinson,0,19
Sherman,0,19
Hill,1,18
Jasper,1,18
Kendall,0,18
Milam,1,18
Van Zandt,1,18
Cass,0,17
Parmer,0,17
San Patricio,0,16
Upshur,0,16
De Witt,1,15
Erath,1,15
Marion,0,15
Austin,0,14
Burleson,0,14
Jackson,0,14
Pecos,0,14
Willacy,1,14
Limestone,1,13
Val Verde,0,13
Colorado,0,12
Terry,0,12
Wheeler,0,12
Cooke,0,11
Hansford,2,11
Swisher,0,11
Wood,0,11
Dallam,0,10
Houston,0,10
Kleberg,1,10
San Jacinto,0,10
Starr,0,10
Trinity,0,10
Montague,1,9
Morris,0,9
Palo Pinto,2,9
Camp,0,7
Freestone,0,7
Goliad,0,7
Hartley,2,7
Hopkins,0,7
Leon,0,7
Tyler,0,7
Zapata,0,7
Bandera,0,6
Bee,0,6
Blanco,0,6
Falls,0,6
Howard,1,6
Kerr,0,6
Lampasas,0,6
Lavaca,1,6
Uvalde,0,6
Bosque,0,5
Callahan,1,5
Hamilton,0,5
Jim Wells,0,5
Lamb,0,5
Live Oak,0,5
Lynn,1,5
Robertson,0,5
Floyd,0,4
Gillespie,0,4
Jack,0,4
Newton,0,4
Young,1,4
Carson,0,3
Clay,0,3
Comanche,1,3
Cottle,0,3
Duval,0,3
Eastland,0,3
Franklin,0,3
Gaines,0,3
Garza,0,3
Jim Hogg,0,3
Karnes,0,3
Llano,0,3
McCulloch,0,3
Martin,1,3
Oldham,1,3
Winkler,0,3
Aransas,0,2
Armstrong,0,2
Bailey,0,2
Coleman,0,2
Crane,0,2
Crosby,1,2
Lee,0,2
Lipscomb,0,2
Madison,0,2
Nolan,0,2
Rains,0,2
Red River,0,2
Roberts,0,2
Runnels,0,2
Sabine,0,2
Scurry,0,2
Wilbarger,0,2
Yoakum,0,2
Brewster,0,1
Briscoe,0,1
Brooks,0,1
Childress,0,1
Cochran,0,1
Coke,0,1
Collingsworth,0,1
Concho,0,1
Delta,0,1
Dickens,0,1
Dimmit,0,1
Glasscock,0,1
Hemphill,0,1
Knox,0,1
La Salle,0,1
Mitchell,0,1
Motley,0,1
Refugio,0,1
Shackelford,0,1
Stephens,0,1
Zavala,0,1
