County of Residence,Deaths,Number of Cases
Dallas,5,169
Harris,1,134
Travis,0,98
Tarrant,1,71
Bexar,1,69
Fort Bend,0,46
Collin,1,45
Denton,0,30
McLennan,0,23
Montgomery,0,23
Galveston,0,21
Brazoria,0,19
Williamson,0,19
Bell,0,18
Brazos,0,16
Smith,0,14
Lubbock,0,12
El Paso,0,11
Nueces,0,10
Webb,0,8
Hays,0,7
Cameron,0,6
Ellis,0,6
Matagorda,1,6
Comal,0,5
Wichita,0,5
Guadalupe,0,4
Castro,0,3
Hockley,0,3
Jefferson,0,3
Johnson,0,3
Midland,1,3
Wharton,0,3
Atascosa,0,2
Brown,0,2
Deaf Smith,0,2
Eastland,0,2
Grayson,0,2
Grimes,0,2
Hardin,0,2
Hidalgo,0,2
Kaufman,0,2
Kendall,0,2
Milam,0,2
Potter,0,2
Austin,0,1
Bastrop,0,1
Blanco,0,1
Bowie,0,1
Burnet,0,1
Cass,0,1
Chambers,0,1
Coryell,0,1
Crane,0,1
De Witt,0,1
Erath,0,1
Falls,0,1
Fannin,0,1
Fayette,0,1
Gaines,0,1
Gregg,0,1
Hopkins,0,1
Hunt,0,1
Lamar,0,1
Lavaca,0,1
Liberty,0,1
Limestone,0,1
Llano,0,1
Maverick,0,1
Medina,0,1
Morris,0,1
Oldham,1,1
Orange,0,1
Parker,0,1
Robertson,0,1
Rusk,0,1
Terry,0,1
Tom Green,0,1
Upshur,0,1
Van Zandt,0,1
Walker,0,1
Wilson,0,1
