County of Residence,Deaths,Number of Cases
Harris,63,4306
Dallas,50,2066
Tarrant,34,1093
Travis,18,1029
Bexar,37,918
Fort Bend,16,656
Denton,15,564
Collin,11,505
El Paso,7,451
Galveston,14,421
Lubbock,28,401
Montgomery,6,350
Brazoria,3,285
Cameron,4,270
Webb,11,245
Hidalgo,3,235
Brazos,14,158
Jefferson,7,157
Williamson,4,140
Bell,3,124
Hays,1,109
Smith,1,108
Potter,2,101
Randall,2,93
Taylor,2,89
Victoria,1,89
Nueces,0,87
Ellis,3,82
McLennan,4,76
Moore,0,75
Nacogdoches,6,75
Coryell,1,71
Hardin,2,67
Walker,0,67
Wichita,0,57
Ector,2,55
Bowie,1,53
Guadalupe,0,53
Shelby,0,53
Matagorda,3,50
Gregg,0,48
Orange,0,48
Washington,4,47
Comal,6,43
Bastrop,1,42
Midland,2,41
Tom Green,1,41
Harrison,1,40
Kaufman,0,38
Johnson,1,37
Panola,1,35
Chambers,0,34
Rockwall,0,32
Wharton,0,32
Hunt,2,25
Liberty,0,25
Rusk,1,25
Angelina,0,23
Donley,0,23
Waller,0,23
Calhoun,0,21
Navarro,2,20
Parker,0,20
Andrews,0,19
Grayson,0,19
Wilson,1,19
Gray,0,16
Fayette,0,15
Hockley,1,15
Hood,2,15
Medina,2,15
Kendall,0,14
Polk,0,14
San Augustine,1,14
Austin,0,12
Brown,1,12
Dawson,1,12
Erath,1,12
Henderson,0,12
Maverick,0,12
Val Verde,0,12
Castro,1,11
Deaf Smith,0,11
Hale,2,11
Limestone,1,11
Van Zandt,1,11
De Witt,0,10
Grimes,1,10
Hill,1,10
San Jacinto,0,10
Terry,0,10
Atascosa,0,9
Burleson,0,9
Milam,0,9
Upshur,0,9
Burnet,0,8
Cherokee,1,8
San Patricio,0,8
Titus,0,8
Wise,2,8
Caldwell,0,7
Colorado,0,7
Lamar,0,7
Starr,0,7
Trinity,0,7
Willacy,1,7
Anderson,0,6
Camp,0,6
Hutchinson,0,6
Jasper,0,6
Palo Pinto,1,6
Sherman,0,6
Uvalde,0,6
Wood,0,6
Zapata,0,6
Bee,0,5
Blanco,0,5
Cass,0,5
Fannin,0,5
Goliad,0,5
Hamilton,0,5
Kleberg,1,5
Leon,0,5
Lynn,0,5
Montague,0,5
Pecos,0,5
Bandera,0,4
Hopkins,0,4
Jackson,0,4
Kerr,0,4
Lavaca,0,4
Morris,0,4
Swisher,0,4
Tyler,0,4
Young,1,4
Clay,0,3
Comanche,0,3
Dallam,0,3
Eastland,0,3
Jack,0,3
Jones,0,3
Karnes,0,3
Live Oak,0,3
Llano,0,3
McCulloch,0,3
Marion,0,3
Oldham,1,3
Winkler,0,3
Aransas,0,2
Cooke,0,2
Crane,0,2
Floyd,0,2
Gaines,0,2
Gonzales,0,2
Jim Wells,0,2
Lamb,0,2
Lampasas,0,2
Lee,0,2
Martin,0,2
Newton,0,2
Rains,0,2
Robertson,0,2
Armstrong,0,1
Bosque,0,1
Callahan,0,1
Concho,0,1
Crosby,1,1
Delta,0,1
Dickens,0,1
Dimmit,0,1
Duval,0,1
Falls,0,1
Franklin,0,1
Freestone,0,1
Frio,0,1
Gillespie,0,1
Hansford,0,1
Hemphill,0,1
Howard,1,1
Knox,0,1
La Salle,0,1
Madison,0,1
Mason,0,1
Mitchell,0,1
Motley,0,1
Red River,0,1
Roberts,0,1
Sabine,0,1
Scurry,0,1
Stephens,0,1
Wilbarger,0,1
Zavala,0,1
