County of Residence,Deaths,Number of Cases
Harris,78,4977
Dallas,60,2512
Tarrant,39,1249
Travis,26,1174
Bexar,39,1029
Fort Bend,18,799
Denton,17,598
Collin,13,544
El Paso,9,540
Galveston,19,468
Lubbock,36,445
Montgomery,7,393
Brazoria,3,333
Cameron,7,310
Webb,11,281
Hidalgo,3,268
Jefferson,10,196
Brazos,16,170
Potter,4,160
Williamson,4,156
Taylor,3,144
Moore,2,139
Bell,3,135
Smith,1,123
Randall,3,115
Hays,1,109
Ellis,4,100
Nacogdoches,6,96
Victoria,1,95
Walker,0,95
Nueces,1,90
Hardin,2,85
Coryell,1,84
McLennan,4,77
Shelby,0,69
Washington,6,67
Bowie,1,64
Midland,3,64
Ector,4,60
Guadalupe,0,60
Wichita,2,60
Harrison,1,58
Orange,0,58
Matagorda,3,56
Gregg,0,52
Bastrop,1,49
Kaufman,0,48
Johnson,1,44
Comal,6,43
Panola,1,42
Tom Green,1,41
Rockwall,0,40
Wharton,0,36
Chambers,0,35
Hunt,2,35
Liberty,0,33
Angelina,0,27
Rusk,1,27
Donley,0,24
Waller,0,24
Navarro,2,23
Wilson,1,22
Calhoun,1,21
Parker,0,21
Gray,0,20
Andrews,0,19
Grayson,0,19
Hockley,1,16
Hale,2,15
Henderson,0,15
Hood,2,15
Maverick,0,15
Medina,2,15
Polk,0,15
Atascosa,1,14
Dawson,1,14
Deaf Smith,0,14
De Witt,1,14
Fayette,0,14
Kendall,0,14
San Augustine,1,14
Brown,1,13
Burnet,0,13
Austin,0,12
Erath,1,12
Milam,0,12
Val Verde,0,12
Van Zandt,1,12
Wise,2,12
Castro,1,11
Hill,1,11
Limestone,1,11
Titus,0,11
Anderson,0,10
Cass,0,10
Grimes,1,10
Jasper,0,10
Terry,0,10
Burleson,0,9
Caldwell,0,9
Colorado,0,9
Fannin,0,9
Upshur,0,9
Willacy,1,9
Cherokee,1,8
Hutchinson,0,8
San Jacinto,0,8
San Patricio,0,8
Lamar,0,7
Palo Pinto,1,7
Sherman,0,7
Starr,0,7
Trinity,0,7
Camp,0,6
Goliad,0,6
Jackson,0,6
Kleberg,1,6
Marion,0,6
Montague,1,6
Tyler,0,6
Uvalde,0,6
Wood,0,6
Zapata,0,6
Bee,0,5
Hamilton,0,5
Leon,0,5
Lynn,0,5
Morris,0,5
Pecos,0,5
Swisher,0,5
Bandera,0,4
Blanco,0,4
Cooke,0,4
Hopkins,0,4
Jack,0,4
Kerr,0,4
Lavaca,0,4
Young,1,4
Bosque,0,3
Clay,0,3
Comanche,0,3
Eastland,0,3
Freestone,0,3
Jones,0,3
Karnes,0,3
Live Oak,0,3
Llano,0,3
McCulloch,0,3
Oldham,1,3
Winkler,0,3
Aransas,0,2
Crane,0,2
Dallam,0,2
Floyd,0,2
Gaines,0,2
Gonzales,0,2
Jim Wells,0,2
Lamb,0,2
Lampasas,0,2
Lee,0,2
Madison,0,2
Martin,0,2
Newton,0,2
Parmer,0,2
Rains,0,2
Roberts,0,2
Robertson,0,2
Scurry,0,2
Armstrong,0,1
Callahan,0,1
Carson,0,1
Childress,0,1
Concho,0,1
Crosby,1,1
Delta,0,1
Dickens,0,1
Dimmit,0,1
Duval,0,1
Falls,0,1
Franklin,0,1
Frio,0,1
Gillespie,0,1
Hansford,0,1
Hartley,0,1
Hemphill,0,1
Houston,0,1
Howard,1,1
Knox,0,1
La Salle,0,1
Mason,0,1
Mitchell,0,1
Motley,0,1
Red River,0,1
Sabine,0,1
Stephens,0,1
Wilbarger,0,1
Yoakum,0,1
Zavala,0,1
