County of Residence,Deaths,Number of Cases
Harris,75,4823
Dallas,60,2428
Tarrant,39,1242
Travis,25,1108
Bexar,39,1015
Fort Bend,17,783
Denton,16,593
El Paso,8,531
Collin,13,527
Galveston,17,455
Lubbock,32,430
Montgomery,7,377
Brazoria,3,315
Cameron,6,298
Webb,11,280
Hidalgo,3,261
Jefferson,10,180
Brazos,16,170
Williamson,4,155
Taylor,2,144
Potter,3,142
Bell,3,126
Moore,2,121
Smith,1,121
Randall,3,112
Hays,1,109
Victoria,1,93
Nacogdoches,6,91
Ellis,3,90
Nueces,0,90
McLennan,4,76
Coryell,1,75
Hardin,2,73
Walker,0,73
Washington,4,61
Shelby,0,60
Wichita,2,60
Ector,4,58
Guadalupe,0,58
Bowie,1,57
Gregg,0,51
Matagorda,3,51
Orange,0,49
Harrison,1,47
Bastrop,1,44
Kaufman,0,44
Comal,6,43
Midland,3,43
Johnson,1,41
Tom Green,1,41
Panola,1,38
Rockwall,0,36
Chambers,0,35
Wharton,0,34
Hunt,2,32
Liberty,0,32
Rusk,1,27
Waller,0,24
Angelina,0,23
Donley,0,23
Calhoun,1,21
Parker,0,21
Wilson,1,21
Navarro,2,20
Andrews,0,19
Grayson,0,19
Gray,0,17
Hockley,1,16
Fayette,0,15
Hood,2,15
Medina,2,15
Kendall,0,14
Polk,0,14
San Augustine,1,14
Brown,1,13
Dawson,1,13
De Witt,0,13
Henderson,0,13
Atascosa,1,12
Austin,0,12
Deaf Smith,0,12
Erath,1,12
Hale,2,12
Maverick,0,12
Milam,0,12
Val Verde,0,12
Van Zandt,1,12
Cass,0,11
Castro,1,11
Limestone,1,11
Grimes,1,10
Hill,1,10
Terry,0,10
Burnet,0,9
Titus,0,9
Upshur,0,9
Wise,2,9
Anderson,0,8
Burleson,0,8
Caldwell,0,8
Cherokee,1,8
Colorado,0,8
Fannin,0,8
Hutchinson,0,8
San Jacinto,0,8
San Patricio,0,8
Willacy,1,8
Jasper,0,7
Lamar,0,7
Palo Pinto,1,7
Sherman,0,7
Starr,0,7
Trinity,0,7
Camp,0,6
Kleberg,1,6
Tyler,0,6
Uvalde,0,6
Wood,0,6
Zapata,0,6
Bee,0,5
Goliad,0,5
Hamilton,0,5
Leon,0,5
Lynn,0,5
Montague,0,5
Morris,0,5
Pecos,0,5
Swisher,0,5
Bandera,0,4
Blanco,0,4
Hopkins,0,4
Jackson,0,4
Kerr,0,4
Lavaca,0,4
Young,1,4
Clay,0,3
Comanche,0,3
Cooke,0,3
Eastland,0,3
Freestone,0,3
Jack,0,3
Jones,0,3
Karnes,0,3
Live Oak,0,3
Llano,0,3
McCulloch,0,3
Marion,0,3
Oldham,1,3
Winkler,0,3
Aransas,0,2
Crane,0,2
Dallam,0,2
Floyd,0,2
Gaines,0,2
Gonzales,0,2
Jim Wells,0,2
Lamb,0,2
Lampasas,0,2
Lee,0,2
Madison,0,2
Martin,0,2
Newton,0,2
Rains,0,2
Roberts,0,2
Robertson,0,2
Scurry,0,2
Armstrong,0,1
Bosque,0,1
Callahan,0,1
Carson,0,1
Childress,0,1
Concho,0,1
Crosby,1,1
Delta,0,1
Dickens,0,1
Dimmit,0,1
Duval,0,1
Falls,0,1
Franklin,0,1
Frio,0,1
Gillespie,0,1
Hansford,0,1
Hartley,0,1
Hemphill,0,1
Houston,0,1
Howard,1,1
Knox,0,1
La Salle,0,1
Mason,0,1
Mitchell,0,1
Motley,0,1
Parmer,0,1
Red River,0,1
Sabine,0,1
Stephens,0,1
Wilbarger,0,1
Yoakum,0,1
Zavala,0,1
