County of Residence,Deaths,Number of Cases,Recoveries,Active
Harris,207,9859,3803,5627
Dallas,191,7904,3808,3694
Tarrant,130,4643,1586,2850
Travis,81,2595,915,1543
Bexar,62,2278,1132,998
Potter,24,2193,356,1766
El Paso,54,1930,984,816
Fort Bend,40,1581,384,1135
Denton,28,1116,571,489
Collin,31,1073,728,288
Montgomery,18,848,291,508
Brazoria,11,795,395,386
Galveston,31,715,439,236
Cameron,30,649,410,196
Lubbock,50,630,401,173
Randall,5,616,150,456
Moore,12,579,357,206
Walker,27,552,246,170
Williamson,20,501,276,191
Webb,18,492,299,162
Jefferson,26,458,278,147
Hidalgo,10,457,257,181
Brazos,18,341,147,168
Bell,3,267,150,107
Ellis,12,264,152,114
Nueces,3,248,115,125
Nacogdoches,17,243,158,66
Hays,3,238,154,62
Coryell,2,225,28,197
Taylor,6,225,298,45
Harrison,22,206,122,62
Grayson,1,199,76,89
Smith,4,192,143,46
Washington,22,186,41,121
Shelby,5,177,111,59
Bowie,5,174,72,60
Gregg,4,173,87,86
Kaufman,2,165,84,80
Panola,19,164,112,34
Victoria,7,157,128,22
Angelina,2,154,54,99
Bastrop,2,152,43,103
Rockwall,5,143,77,67
Johnson,4,142,74,70
Titus,2,142,18,110
Deaf Smith,7,139,33,93
Ector,4,124,80,34
Lamar,9,122,57,50
Midland,12,122,43,67
Hardin,4,121,100,14
Jones,0,117,63,52
Guadalupe,0,114,80,34
McLennan,4,98,90,4
Gray,1,95,58,35
Maverick,1,93,23,66
Grimes,1,89,10,54
Orange,2,89,70,15
Gonzales,2,88,24,61
Wichita,2,82,61,17
Houston,0,81,6,75
Liberty,3,79,41,31
Comal,6,72,56,9
Hunt,3,69,43,22
Parker,0,64,36,32
Matagorda,5,63,57,1
Tom Green,1,62,52,9
Anderson,0,61,28,32
Medina,2,60,17,40
Chambers,0,58,47,8
Brown,7,55,30,14
Polk,0,50,19,31
Hale,4,49,34,11
Henderson,0,49,28,21
Wharton,0,46,38,6
Waller,0,45,31,12
Rusk,2,42,34,6
Ochiltree,3,41,19,19
Navarro,2,40,28,8
Red River,4,40,1,35
Caldwell,0,39,7,32
Dawson,1,39,25,12
Parmer,0,39,10,26
Cherokee,2,38,16,18
Wise,2,38,21,16
Calhoun,3,37,29,4
Wilson,5,37,28,4
Frio,0,35,8,27
Atascosa,1,32,16,15
Hutchinson,0,32,16,14
Fayette,2,31,10,19
Mason,0,31,21,10
Camp,0,29,7,19
Burnet,0,28,14,14
Castro,1,28,16,11
Fannin,2,28,17,8
Hockley,1,27,18,5
Donley,0,26,25,2
Jasper,1,26,15,10
Milam,1,26,19,5
San Augustine,1,26,14,11
San Patricio,0,26,17,9
Kendall,0,24,16,7
Pecos,0,24,11,12
Van Zandt,1,24,14,8
Hill,1,23,11,11
Hood,3,23,15,4
Sherman,0,23,16,7
Andrews,0,22,21,1
Starr,0,22,9,11
Wood,1,22,10,12
Cass,0,21,14,7
Austin,0,20,13,7
Burleson,0,20,3,17
Colorado,0,19,9,10
Dallam,0,18,9,9
Upshur,0,18,14,4
DeWitt,1,17,13,3
Hansford,2,17,7,7
Limestone,1,17,8,8
Erath,1,15,11,4
Jackson,1,15,12,1
Marion,0,15,13,2
Swisher,0,15,9,6
Wheeler,0,15,9,5
Willacy,1,15,11,2
Kleberg,1,14,8,7
Morris,0,14,8,5
Cooke,0,13,8,5
Terry,0,13,12,1
Val Verde,0,13,13,0
San Jacinto,0,12,10,2
Hartley,2,11,5,4
Hopkins,0,11,6,2
Kerr,0,11,5,5
Lamb,0,11,4,7
Trinity,0,11,9,2
Bailey,0,10,1,9
Palo Pinto,2,10,7,0
Tyler,0,10,6,4
Zavala,0,10,1,9
Leon,0,9,3,6
Montague,1,9,7,5
Callahan,1,8,2,7
Franklin,0,8,2,5
Jim Wells,0,8,4,5
Lampasas,0,8,1,7
Lavaca,1,8,5,2
Madison,0,8,2,6
Zapata,0,8,7,0
Bee,0,7,6,0
Blanco,0,7,6,0
Freestone,0,7,2,5
Goliad,0,7,7,0
Hamilton,0,7,4,3
Live Oak,0,7,5,2
Robertson,0,7,2,5
Bandera,0,6,6,0
Bosque,0,6,2,4
Duval,0,6,3,2
Falls,0,6,2,4
Gaines,0,6,3,3
Howard,1,6,3,3
Lee,0,6,3,4
Uvalde,0,6,6,0
Wilbarger,0,6,1,5
Carson,0,5,2,3
Comanche,1,5,2,2
Eastland,0,5,3,2
Floyd,0,5,4,1
Gillespie,0,5,3,2
Lynn,1,5,4,0
Aransas,0,4,2,1
Collingsworth,0,4,1,3
Cottle,1,4,2,1
Garza,0,4,2,2
Jack,0,4,4,0
Jim Hogg,0,4,2,2
Karnes,0,4,3,2
La Salle,0,4,1,3
Newton,0,4,2,2
Sabine,0,4,1,3
Young,1,4,3,0
Clay,0,3,3,0
Crosby,1,3,1,1
Llano,0,3,3,0
McCulloch,0,3,3,1
Martin,1,3,2,0
Oldham,1,3,2,0
Reeves,0,3,0,3
Refugio,0,3,1,2
Winkler,0,3,3,0
Yoakum,0,3,2,0
Armstrong,0,2,2,0
Childress,0,2,1,1
Coleman,0,2,1,1
Crane,0,2,2,1
Fisher,0,2,0,2
Haskell,0,2,0,2
Lipscomb,0,2,2,0
Nolan,0,2,2,0
Rains,0,2,2,0
Roberts,0,2,2,0
Runnels,0,2,2,1
Scurry,0,2,2,0
Stephens,0,2,1,2
Archer,0,1,0,1
Brewster,0,1,1,0
Briscoe,0,1,1,0
Brooks,0,1,1,0
Cochran,0,1,1,0
Coke,0,1,1,0
Concho,0,1,1,0
Delta,0,1,1,0
Dickens,0,1,1,0
Dimmit,0,1,1,0
Glasscock,0,1,1,0
Hall,0,1,0,0
Hemphill,0,1,1,0
Kimble,0,1,0,1
Knox,0,1,1,0
Mills,0,1,0,1
Mitchell,0,1,1,0
Motley,0,1,1,0
San Saba,0,1,0,1
Shackelford,0,1,0,1
