County of Residence,Deaths,Number of Cases
Harris,154,7377
Dallas,125,5120
Tarrant,90,2956
Travis,59,2002
Bexar,54,1805
Fort Bend,33,1332
El Paso,30,1190
Potter,15,1027
Denton,23,872
Collin,24,857
Montgomery,15,689
Galveston,28,672
Brazoria,8,613
Lubbock,48,582
Moore,7,487
Cameron,20,483
Webb,17,414
Hidalgo,7,368
Jefferson,25,353
Williamson,12,352
Randall,3,343
Walker,2,332
Brazos,17,243
Bell,3,218
Taylor,6,207
Coryell,2,205
Nacogdoches,7,202
Hays,1,195
Ellis,11,193
Harrison,6,180
Smith,3,170
Washington,18,156
Shelby,4,149
Victoria,5,146
Panola,3,138
Nueces,3,123
Gregg,0,117
Hardin,3,113
Kaufman,1,111
Bastrop,2,106
Angelina,0,100
Midland,10,100
Rockwall,4,100
Johnson,4,99
Ector,4,94
McLennan,4,94
Guadalupe,0,92
Jones,0,87
Orange,2,81
Grayson,0,78
Lamar,0,77
Bowie,2,76
Gray,0,73
Wichita,2,71
Comal,6,65
Matagorda,3,62
Tom Green,1,59
Hunt,3,56
Liberty,1,49
Chambers,0,47
Deaf Smith,0,46
Parker,0,44
Anderson,0,41
Wharton,0,41
Rusk,1,40
Brown,6,38
Grimes,1,37
Hale,4,37
Calhoun,3,36
Henderson,0,36
Navarro,2,36
Waller,0,36
Polk,0,35
Wilson,4,34
Gonzales,2,31
Dawson,1,30
Ochiltree,1,29
Titus,0,29
Mason,0,28
Wise,2,28
Maverick,0,26
Burnet,0,25
Caldwell,0,25
Donley,0,25
Frio,0,25
Fannin,1,23
Atascosa,1,22
Castro,1,22
Medina,2,22
Andrews,0,21
Fayette,1,21
San Augustine,1,21
Hockley,1,20
Sherman,0,20
Hill,1,19
Hood,3,19
Hutchinson,0,19
Jasper,1,19
Cherokee,1,18
Kendall,0,18
Milam,1,18
Van Zandt,1,18
Cass,0,17
Parmer,0,17
Upshur,0,17
Marion,0,16
San Patricio,0,16
Burleson,0,15
De Witt,1,15
Austin,0,14
Erath,1,14
Jackson,0,14
Pecos,0,14
Starr,0,14
Willacy,1,14
Colorado,0,13
Limestone,1,13
Val Verde,0,13
Wheeler,0,13
Wood,0,13
Hansford,2,12
Terry,0,12
Cooke,0,11
Dallam,0,11
Swisher,0,11
Trinity,0,11
Houston,0,10
Kleberg,1,10
San Jacinto,0,10
Leon,0,9
Montague,1,9
Morris,0,9
Palo Pinto,2,9
Camp,0,7
Freestone,0,7
Goliad,0,7
Hartley,2,7
Hopkins,0,7
Kerr,0,7
Tyler,0,7
Zapata,0,7
Bandera,0,6
Bee,0,6
Blanco,0,6
Callahan,1,6
Falls,0,6
Hamilton,0,6
Howard,1,6
Lampasas,0,6
Lavaca,1,6
Uvalde,0,6
Bosque,0,5
Jim Wells,0,5
Lamb,0,5
Live Oak,0,5
Lynn,1,5
Robertson,0,5
Floyd,0,4
Gillespie,0,4
Jack,0,4
Lee,0,4
Newton,0,4
Young,1,4
Carson,0,3
Clay,0,3
Comanche,1,3
Cottle,0,3
Duval,0,3
Eastland,0,3
Franklin,0,3
Gaines,0,3
Garza,0,3
Jim Hogg,0,3
Karnes,0,3
Llano,0,3
McCulloch,0,3
Madison,0,3
Martin,1,3
Oldham,1,3
Red River,0,3
Winkler,0,3
Aransas,0,2
Armstrong,0,2
Bailey,0,2
Coleman,0,2
Crane,0,2
Crosby,1,2
Lipscomb,0,2
Nolan,0,2
Rains,0,2
Roberts,0,2
Runnels,0,2
Sabine,0,2
Scurry,0,2
Wilbarger,0,2
Yoakum,0,2
Brewster,0,1
Briscoe,0,1
Brooks,0,1
Childress,0,1
Cochran,0,1
Coke,0,1
Collingsworth,0,1
Concho,0,1
Delta,0,1
Dickens,0,1
Dimmit,0,1
Glasscock,0,1
Hemphill,0,1
Kimble,0,1
Knox,0,1
La Salle,0,1
Mitchell,0,1
Motley,0,1
Reeves,0,1
Refugio,0,1
Shackelford,0,1
Stephens,0,1
Zavala,0,1
