County of Residence,Deaths,Number of Cases
Harris,41,3561
Dallas,27,1644
Tarrant,25,787
Travis,9,744
Bexar,27,723
Fort Bend,11,536
Denton,13,474
Collin,7,441
Galveston,8,355
Lubbock,14,270
El Paso,2,269
Montgomery,5,251
Brazoria,2,225
Cameron,3,195
Webb,6,191
Hidalgo,1,188
Brazos,10,134
Williamson,4,113
Bell,3,101
Jefferson,5,100
Smith,1,93
Hays,0,82
Victoria,0,77
Nueces,0,76
Potter,2,70
McLennan,2,69
Ellis,2,66
Randall,2,64
Hardin,2,61
Taylor,1,59
Wichita,0,56
Guadalupe,0,49
Nacogdoches,2,47
Matagorda,3,46
Orange,0,44
Ector,1,41
Gregg,0,39
Comal,4,37
Washington,2,37
Tom Green,1,35
Coryell,0,34
Shelby,0,34
Bowie,1,32
Midland,1,32
Chambers,0,29
Johnson,1,28
Kaufman,0,26
Wharton,0,26
Donley,0,22
Moore,0,22
Rockwall,0,20
Bastrop,1,19
Liberty,0,19
Hunt,0,18
Grayson,0,17
Walker,0,17
Angelina,0,16
Harrison,1,16
Rusk,0,16
Calhoun,0,15
Waller,0,15
Hockley,1,14
Gray,0,13
Hood,1,13
Medina,1,13
Parker,0,13
Erath,1,12
Navarro,2,12
Andrews,0,11
Castro,1,11
Hale,2,11
Kendall,0,11
Limestone,1,11
Wilson,0,11
Austin,0,10
Brown,0,10
Fayette,0,10
Henderson,0,10
Panola,1,10
Val Verde,0,10
Van Zandt,1,10
Atascosa,0,9
De Witt,0,9
Maverick,0,9
Polk,0,9
San Augustine,1,9
Hill,0,8
Lamar,0,8
Upshur,0,8
Colorado,0,7
Deaf Smith,0,7
Grimes,0,7
Jasper,0,7
Milam,0,7
San Patricio,0,7
Starr,0,7
Burleson,0,6
Burnet,0,6
Caldwell,0,6
Cherokee,0,6
Dawson,1,6
Terry,0,6
Titus,0,6
Uvalde,0,6
Cass,0,5
Fannin,0,5
Lynn,0,5
San Jacinto,0,5
Willacy,1,5
Wise,0,5
Wood,0,5
Blanco,0,4
Goliad,0,4
Hopkins,0,4
Jackson,0,4
Lavaca,0,4
Palo Pinto,1,4
Swisher,0,4
Anderson,0,3
Camp,0,3
Comanche,0,3
Eastland,0,3
Leon,0,3
Live Oak,0,3
Llano,0,3
McCulloch,0,3
Morris,0,3
Oldham,1,3
Trinity,0,3
Young,0,3
Zapata,0,3
Aransas,0,2
Bandera,0,2
Bee,0,2
Clay,0,2
Crane,0,2
Dickens,0,2
Gonzales,0,2
Hamilton,0,2
Hutchinson,0,2
Jim Wells,0,2
Jones,0,2
Karnes,0,2
Kerr,0,2
Kleberg,0,2
Lampasas,0,2
Lee,0,2
Martin,0,2
Montague,0,2
Newton,0,2
Robertson,0,2
Tyler,0,2
Callahan,0,1
Concho,0,1
Cooke,0,1
Crosby,0,1
Dallam,0,1
Delta,0,1
Dimmit,0,1
Falls,0,1
Floyd,0,1
Franklin,0,1
Frio,0,1
Gaines,0,1
Gillespie,0,1
Hansford,0,1
Hemphill,0,1
Howard,1,1
Jack,0,1
Knox,0,1
Lamb,0,1
Mason,0,1
Mitchell,0,1
Pecos,0,1
Rains,0,1
Stephens,0,1
Winkler,0,1
