County of Residence,Deaths,Number of Cases,Recoveries,Active
Harris,204,9126,3631,5220
Dallas,170,7250,3241,3631
Tarrant,121,4350,1470,2676
Travis,77,2425,879,1425
Potter,23,2129,326,1731
Bexar,62,2120,1071,987
El Paso,46,1726,142,113
Fort Bend,40,1558,304,1166
Denton,28,1051,13,3
Collin,31,1016,692,285
Montgomery,18,798,277,503
Brazoria,10,727,380,337
Galveston,31,701,434,231
Cameron,27,619,398,158
Lubbock,50,619,373,193
Randall,4,602,142,447
Moore,11,552,294,239
Webb,18,477,284,168
Williamson,19,463,259,173
Jefferson,26,436,262,148
Hidalgo,10,425,253,162
Walker,26,421,221,165
Brazos,18,318,144,150
Bell,3,248,149,96
Ellis,12,247,882,728
Nacogdoches,17,238,143,73
Nueces,3,233,88,141
Coryell,2,224,26,196
Hays,3,219,144,72
Taylor,6,217,271,45
Harrison,19,202,96,85
Smith,3,189,134,52
Washington,22,181,39,120
Shelby,5,175,98,70
Gregg,0,170,79,91
Panola,15,162,108,36
Victoria,7,154,125,23
Grayson,0,147,66,74
Kaufman,1,147,75,80
Angelina,1,139,30,108
Rockwall,5,134,70,72
Bowie,3,133,65,62
Bastrop,2,132,41,89
Johnson,4,123,68,62
Deaf Smith,6,122,1,0
Midland,12,120,39,69
Hardin,4,117,92,21
Lamar,9,116,4,7
Ector,4,114,76,32
Jones,0,112,50,62
Guadalupe,0,110,78,31
McLennan,4,97,56,2
Titus,1,96,15,80
Gray,0,91,49,42
Orange,2,87,65,20
Gonzales,2,79,17,57
Wichita,2,78,57,19
Houston,0,76,6,70
Liberty,3,75,40,33
Maverick,0,74,2,0
Comal,6,70,56,8
Hunt,3,66,43,20
Grimes,1,65,10,54
Matagorda,5,63,11,4
Tom Green,1,61,47,13
Parker,0,57,31,31
Anderson,0,54,26,28
Chambers,0,53,44,8
Brown,7,51,25,19
Medina,2,50,17,30
Henderson,0,48,24,24
Polk,0,47,16,31
Hale,4,44,33,6
Rusk,1,42,31,10
Wharton,0,42,35,7
Ochiltree,2,40,14,23
Waller,0,40,30,9
Dawson,1,38,21,16
Navarro,2,38,27,9
Caldwell,0,36,7,29
Calhoun,3,36,26,7
Wilson,5,36,26,6
Wise,2,36,19,16
Frio,0,35,7,28
Red River,0,35,1,34
Cherokee,1,34,14,19
Mason,0,31,2,6
Atascosa,1,30,16,13
Fayette,2,29,9,18
Burnet,0,28,14,14
Castro,1,27,13,12
Parmer,0,26,6,19
San Patricio,0,26,17,8
Donley,0,25,24,1
Fannin,2,25,16,7
Hutchinson,0,25,12,13
Milam,1,24,18,4
Hockley,1,23,18,4
Jasper,1,23,15,7
Sherman,0,23,14,9
Andrews,0,22,19,3
Dallam,0,22,9,11
Hill,1,22,10,11
Hood,3,22,16,3
San Augustine,1,22,11,10
Van Zandt,1,22,14,7
Camp,0,21,6,15
Kendall,0,21,15,6
Pecos,0,20,8,12
Austin,0,19,13,6
Cass,0,19,13,6
Burleson,0,18,3,15
Colorado,0,18,10,8
Upshur,0,18,14,4
Wood,0,18,9,9
DeWitt,1,17,29,85
Starr,0,17,9,9
Hansford,2,16,5,9
Erath,1,15,11,4
Jackson,1,15,9,1
Limestone,1,15,8,6
Marion,0,15,89,4
Kleberg,1,14,7,8
Swisher,0,14,8,6
Wheeler,0,14,6,8
Willacy,1,14,10,3
Cooke,0,13,7,6
Val Verde,0,13,13,0
San Jacinto,0,12,10,2
Terry,0,12,11,1
Lamb,0,11,4,4
Morris,0,11,7,4
Trinity,0,11,7,4
Kerr,0,10,4,6
Hartley,2,9,4,3
Leon,0,9,4,5
Montague,1,9,5,7
Palo Pinto,2,9,6,1
Tyler,0,9,5,4
Zavala,0,9,1,8
Callahan,1,8,2,7
Hopkins,0,8,6,2
Jim Wells,0,8,4,5
Lampasas,0,8,1,3
Lavaca,1,8,5,2
Madison,0,8,3,1
Freestone,0,7,2,5
Goliad,0,7,6,1
Hamilton,0,7,3,4
Zapata,0,7,6,1
Bailey,0,6,0,6
Bandera,0,6,5,1
Bee,0,6,5,1
Blanco,0,6,6,0
Bosque,0,6,2,4
Falls,0,6,2,4
Howard,1,6,2,3
Lee,0,6,2,4
Live Oak,0,6,5,1
Robertson,0,6,2,4
Uvalde,0,6,6,0
Duval,0,5,3,2
Eastland,0,5,3,2
Franklin,0,5,2,3
Gaines,0,5,2,3
Lynn,1,5,4,0
Wilbarger,0,5,1,4
Carson,0,4,2,1
Collingsworth,0,4,0,4
Cottle,1,4,2,1
Floyd,0,4,3,1
Garza,0,4,2,2
Gillespie,0,4,3,1
Jack,0,4,4,0
Jim Hogg,0,4,2,2
La Salle,0,4,55,52
Newton,0,4,2,2
Young,1,4,3,0
Aransas,0,3,2,1
Clay,0,3,3,0
Comanche,1,3,2,0
Crosby,1,3,1,0
Karnes,0,3,3,1
Llano,0,3,3,0
McCulloch,0,3,19,12
Martin,1,3,0,0
Oldham,1,3,2,1
Reeves,0,3,0,3
Refugio,0,3,0,3
Sabine,0,3,1,2
Winkler,0,3,3,0
Armstrong,0,2,2,0
Childress,0,2,1,1
Coleman,0,2,1,1
Crane,0,2,2,1
Lipscomb,0,2,2,0
Nolan,0,2,2,0
Rains,0,2,2,0
Roberts,0,2,2,0
Runnels,0,2,2,1
Scurry,0,2,2,0
Stephens,0,2,1,2
Yoakum,0,2,1,1
Archer,0,1,0,1
Brewster,0,1,1,0
Briscoe,0,1,1,0
Brooks,0,1,1,0
Cochran,0,1,1,0
Coke,0,1,0,1
Concho,0,1,1,0
Delta,0,1,550,462
Dickens,0,1,1,0
Dimmit,0,1,1,0
Fisher,0,1,0,1
Glasscock,0,1,1,0
