County of Residence,Deaths,Number of Cases
Dallas,7,367
Harris,2,203
Travis,0,137
Bexar,5,113
Tarrant,1,100
Collin,1,88
Fort Bend,0,86
Denton,1,83
Montgomery,0,41
Galveston,0,40
Brazoria,0,39
McLennan,0,33
Brazos,0,30
Williamson,0,27
Lubbock,0,23
El Paso,0,21
Smith,1,21
Bell,1,20
Nueces,0,18
Hays,0,13
Webb,0,13
Wichita,0,12
Hidalgo,0,11
Cameron,0,10
Ellis,0,10
Comal,1,9
Matagorda,1,9
Guadalupe,0,8
Jefferson,0,8
Castro,0,7
Johnson,0,6
Midland,1,6
Hockley,0,5
Gregg,0,4
Hardin,0,4
Kendall,0,4
Brown,0,3
De Witt,0,3
Medina,0,3
Rockwall,0,3
Victoria,0,3
Wharton,0,3
Angelina,0,2
Atascosa,0,2
Bastrop,0,2
Bowie,0,2
Calhoun,0,2
Chambers,0,2
Deaf Smith,0,2
Eastland,0,2
Grayson,0,2
Grimes,0,2
Hood,0,2
Kaufman,0,2
Liberty,0,2
Llano,0,2
Milam,0,2
Parker,0,2
Rusk,0,2
Starr,0,2
Tom Green,0,2
Val Verde,0,2
Walker,0,2
Austin,0,1
Blanco,0,1
Burnet,0,1
Cass,0,1
Cherokee,0,1
Coryell,0,1
Crane,0,1
Erath,0,1
Falls,0,1
Fannin,0,1
Fayette,0,1
Gaines,0,1
Hale,0,1
Harrison,0,1
Hopkins,0,1
Hunt,0,1
Jackson,0,1
Karnes,0,1
Lamar,0,1
Lavaca,0,1
Limestone,0,1
Martin,0,1
Maverick,0,1
Montague,0,1
Morris,0,1
Nacogdoches,0,1
Navarro,0,1
Oldham,1,1
Orange,0,1
Potter,0,1
Robertson,0,1
San Patricio,0,1
Shelby,0,1
Taylor,0,1
Terry,0,1
Upshur,0,1
Uvalde,0,1
Van Zandt,0,1
Willacy,0,1
Wilson,0,1
Yoakum,0,1
Young,0,1
