County of Residence,Deaths,Number of Cases
Harris,44,3629
Dallas,31,1723
Tarrant,25,806
Travis,9,774
Bexar,27,772
Fort Bend,11,536
Denton,13,482
Collin,8,453
Galveston,8,355
Lubbock,16,307
El Paso,2,292
Montgomery,5,251
Brazoria,2,237
Webb,8,196
Cameron,3,195
Hidalgo,1,190
Brazos,11,140
Jefferson,6,124
Williamson,4,117
Bell,3,101
Smith,1,96
Hays,0,82
Victoria,0,81
Nueces,0,76
McLennan,2,71
Potter,2,70
Ellis,2,66
Randall,2,64
Hardin,2,61
Taylor,1,61
Wichita,0,56
Guadalupe,0,49
Nacogdoches,2,48
Matagorda,3,47
Orange,0,44
Ector,2,43
Gregg,0,39
Comal,4,37
Washington,2,37
Shelby,0,36
Tom Green,1,35
Coryell,0,34
Bowie,1,32
Midland,2,32
Chambers,0,29
Johnson,1,28
Kaufman,0,28
Wharton,0,27
Donley,0,22
Moore,0,22
Rockwall,0,22
Walker,0,21
Bastrop,1,19
Liberty,0,19
Hunt,0,18
Grayson,0,17
Angelina,0,16
Harrison,1,16
Waller,0,16
Calhoun,0,15
Rusk,0,15
Hockley,1,14
Parker,0,14
Gray,0,13
Hood,1,13
Medina,1,13
Panola,1,13
Andrews,0,12
Erath,1,12
Navarro,2,12
Austin,0,11
Castro,1,11
Hale,2,11
Kendall,0,11
Limestone,1,11
Wilson,0,11
Brown,0,10
Fayette,0,10
Henderson,0,10
Terry,0,10
Val Verde,0,10
Van Zandt,1,10
Atascosa,0,9
De Witt,0,9
Maverick,0,9
Polk,0,9
San Augustine,1,9
Dawson,1,8
Deaf Smith,0,8
Hill,0,8
Lamar,0,8
Milam,0,8
Upshur,0,8
Colorado,0,7
Grimes,0,7
Jasper,0,7
San Jacinto,0,7
San Patricio,0,7
Starr,0,7
Burleson,0,6
Burnet,0,6
Caldwell,0,6
Cherokee,0,6
Titus,0,6
Uvalde,0,6
Cass,0,5
Fannin,0,5
Lynn,0,5
Willacy,1,5
Wise,0,5
Wood,0,5
Blanco,0,4
Goliad,0,4
Hopkins,0,4
Jackson,0,4
Lavaca,0,4
Palo Pinto,1,4
Swisher,0,4
Anderson,0,3
Camp,0,3
Comanche,0,3
Eastland,0,3
Hutchinson,0,3
Leon,0,3
Live Oak,0,3
Llano,0,3
McCulloch,0,3
Morris,0,3
Oldham,1,3
Trinity,0,3
Young,0,3
Zapata,0,3
Aransas,0,2
Bandera,0,2
Bee,0,2
Clay,0,2
Crane,0,2
Gaines,0,2
Gonzales,0,2
Hamilton,0,2
Jim Wells,0,2
Jones,0,2
Karnes,0,2
Kerr,0,2
Kleberg,0,2
Lampasas,0,2
Lee,0,2
Martin,0,2
Montague,0,2
Newton,0,2
Robertson,0,2
Tyler,0,2
Callahan,0,1
Concho,0,1
Cooke,0,1
Crosby,0,1
Dallam,0,1
Delta,0,1
Dickens,0,1
Dimmit,0,1
Falls,0,1
Floyd,0,1
Franklin,0,1
Frio,0,1
Gillespie,0,1
Hansford,0,1
Hemphill,0,1
Howard,1,1
Jack,0,1
Knox,0,1
Lamb,0,1
Mason,0,1
Mitchell,0,1
Motley,0,1
Pecos,0,1
Rains,0,1
Stephens,0,1
Winkler,0,1
