County of Residence,Deaths,Number of Cases,Recoveries,Active
Harris,172,7878,3016,4619
Dallas,143,5870,2511,2965
Tarrant,103,3695,780,2329
Travis,60,2127,713,1322
Bexar,56,1901,976,869
Fort Bend,38,1385,236,1098
El Paso,33,1340,685,605
Potter,15,1124,158,951
Denton,25,922,440,449
Collin,28,918,587,287
Montgomery,16,699,254,429
Galveston,29,685,400,251
Brazoria,9,661,338,309
Lubbock,49,592,308,232
Moore,9,526,201,318
Cameron,22,512,265,225
Webb,17,435,209,208
Hidalgo,8,389,218,161
Jefferson,25,381,213,138
Williamson,13,377,213,142
Randall,3,358,105,250
Walker,2,342,132,206
Brazos,18,271,120,127
Bell,3,220,131,86
Ellis,11,211,105,86
Nacogdoches,9,211,100,97
Coryell,2,208,19,187
Taylor,6,208,178,24
Hays,2,203,117,84
Harrison,9,186,58,119
Smith,3,174,118,53
Washington,18,164,32,114
Shelby,5,152,81,66
Victoria,5,150,104,41
Panola,8,144,61,73
Nueces,3,132,78,48
Kaufman,1,120,60,55
Gregg,0,118,54,64
Hardin,3,115,79,33
Bastrop,2,110,35,72
Rockwall,5,104,44,52
Johnson,4,103,50,46
Midland,11,101,35,55
Angelina,0,100,19,81
Ector,4,99,70,21
Guadalupe,0,97,63,32
Jones,0,95,11,81
McLennan,4,94,85,5
Grayson,0,91,35,54
Lamar,4,89,8,77
Orange,2,85,57,26
Bowie,2,76,57,17
Gray,0,75,32,43
Wichita,2,75,52,21
Liberty,1,66,33,30
Comal,6,65,48,11
Matagorda,3,62,51,8
Deaf Smith,0,59,18,41
Gonzales,2,59,9,42
Tom Green,1,59,39,19
Hunt,3,57,32,22
Chambers,0,50,40,9
Parker,0,45,20,25
Grimes,1,42,5,36
Anderson,0,41,15,26
Henderson,0,41,20,21
Wharton,0,41,33,8
Rusk,1,40,28,11
Brown,6,38,17,15
Hale,4,37,19,14
Waller,0,37,25,12
Calhoun,3,36,22,11
Navarro,2,36,25,9
Wilson,4,36,23,8
Polk,0,35,11,24
Titus,0,35,12,23
Frio,0,34,3,31
Medina,2,32,15,14
Caldwell,0,30,6,21
Dawson,1,30,17,12
Wise,2,30,11,17
Ochiltree,1,29,3,25
Mason,0,28,1,27
Burnet,0,26,8,18
Donley,0,26,22,4
Maverick,0,26,14,12
Fayette,1,25,9,15
Atascosa,1,24,11,10
Castro,1,23,11,11
Fannin,1,23,13,9
Sherman,0,23,10,13
San Patricio,0,22,11,9
Andrews,0,21,17,4
Hutchinson,0,21,9,12
San Augustine,1,21,7,13
Cass,0,20,11,9
Hockley,1,20,17,2
Milam,1,20,12,7
Hill,1,19,8,10
Hood,3,19,13,3
Jasper,1,19,10,8
Kendall,0,19,15,4
Parmer,0,19,3,16
Cherokee,1,18,10,7
Van Zandt,1,18,11,6
Upshur,0,17,12,5
Colorado,0,16,9,7
Austin,0,15,11,4
Burleson,0,15,3,12
DeWitt,1,15,13,1
Limestone,1,15,5,9
Marion,0,15,6,9
Pecos,0,15,5,10
Dallam,0,14,6,7
Erath,1,14,10,3
Jackson,0,14,6,8
Starr,0,14,7,7
Wheeler,0,14,4,10
Willacy,1,14,11,2
Wood,0,14,6,8
Houston,0,13,3,10
Val Verde,0,13,11,2
Cooke,0,12,3,9
Hansford,2,12,3,7
Swisher,0,12,8,4
Terry,0,12,9,3
Kleberg,1,11,6,4
San Jacinto,0,11,8,3
Trinity,0,11,7,4
Kerr,0,9,5,4
Leon,0,9,3,6
Montague,1,9,4,4
Morris,0,9,4,5
Palo Pinto,2,9,5,2
Red River,0,9,1,8
Hartley,2,8,3,3
Hopkins,0,8,4,4
Lampasas,0,8,2,6
Camp,0,7,5,2
Freestone,0,7,2,5
Goliad,0,7,6,1
Hamilton,0,7,1,5
Jim Wells,0,7,3,4
Lamb,0,7,2,5
Tyler,0,7,5,2
Zapata,0,7,6,1
Bandera,0,6,5,1
Bee,0,6,4,2
Blanco,0,6,5,1
Callahan,1,6,1,4
Falls,0,6,1,5
Howard,1,6,2,3
Lavaca,1,6,4,1
Uvalde,0,6,6,0
Bosque,0,5,2,3
Duval,0,5,2,3
Lee,0,5,2,3
Live Oak,0,5,5,0
Lynn,1,5,4,0
Robertson,0,5,2,3
Collingsworth,0,4,0,4
Cottle,1,4,0,3
Floyd,0,4,3,1
Gillespie,0,4,1,3
Jack,0,4,3,1
Newton,0,4,2,2
Young,1,4,3,0
Bailey,0,3,0,3
Carson,0,3,1,2
