County of Residence,Deaths,Number of Cases
Harris,4,526
Dallas,10,488
Travis,1,200
Denton,2,165
Bexar,5,157
Tarrant,1,139
Collin,1,134
Fort Bend,1,119
Galveston,0,70
Montgomery,0,66
Brazoria,0,61
Lubbock,0,51
Brazos,2,44
El Paso,0,40
Williamson,1,37
McLennan,0,36
Smith,1,32
Webb,1,32
Bell,1,28
Hidalgo,0,28
Wichita,0,28
Nueces,0,22
Cameron,0,20
Jefferson,0,18
Hays,0,16
Ellis,0,15
Guadalupe,0,13
Matagorda,1,13
Midland,1,13
Comal,1,9
Hardin,1,9
Castro,0,8
Johnson,1,8
Washington,0,8
Hockley,0,7
Kendall,0,7
Taylor,0,7
Bastrop,0,6
Grayson,0,6
Randall,0,6
Victoria,0,6
Wharton,0,6
Chambers,0,5
Gregg,0,5
Orange,0,5
Potter,0,5
Tom Green,0,5
Val Verde,0,5
Bowie,0,4
Parker,0,4
Rockwall,0,4
Angelina,0,3
Brown,0,3
Calhoun,0,3
De Witt,0,3
Eastland,0,3
Ector,0,3
Hood,0,3
Hunt,0,3
Kaufman,0,3
Lamar,0,3
Llano,0,3
Medina,0,3
Navarro,0,3
Rusk,0,3
Terry,0,3
Walker,0,3
Waller,0,3
Aransas,0,2
Atascosa,0,2
Austin,0,2
Burnet,0,2
Cass,0,2
Deaf Smith,0,2
Fayette,0,2
Grimes,0,2
Hopkins,0,2
Karnes,0,2
Liberty,0,2
Limestone,0,2
Lynn,0,2
Milam,0,2
Nacogdoches,0,2
Oldham,1,2
Robertson,0,2
Shelby,0,2
Starr,0,2
Upshur,0,2
Uvalde,0,2
Van Zandt,1,2
Willacy,0,2
Wilson,0,2
Blanco,0,1
Burleson,0,1
Caldwell,0,1
Cherokee,0,1
Coryell,0,1
Crane,0,1
Dawson,0,1
Erath,0,1
Falls,0,1
Fannin,0,1
Franklin,0,1
Gaines,0,1
Hale,0,1
Harrison,0,1
Hill,0,1
Jackson,0,1
Jim Wells,0,1
Kleberg,0,1
Lamb,0,1
Lavaca,0,1
Leon,0,1
Martin,0,1
Maverick,0,1
Montague,0,1
Moore,0,1
Morris,0,1
Polk,0,1
San Jacinto,0,1
San Patricio,0,1
Swisher,0,1
Wise,0,1
Young,0,1
