County of Residence,Deaths,Number of Cases
Harris,114,6356
Dallas,104,3531
Tarrant,68,2246
Travis,47,1654
Bexar,47,1374
Fort Bend,26,1052
El Paso,21,924
Denton,21,765
Collin,20,724
Montgomery,12,602
Galveston,26,595
Potter,8,572
Lubbock,43,535
Brazoria,6,509
Cameron,18,412
Webb,16,363
Moore,5,350
Hidalgo,6,334
Taylor,5,319
Jefferson,21,307
Williamson,9,301
Walker,2,269
Randall,3,234
Brazos,16,197
Bell,3,189
Hays,1,165
Nacogdoches,7,160
Coryell,2,158
Ellis,6,148
Smith,3,144
Washington,15,144
Victoria,3,137
Panola,3,128
Shelby,4,117
Harrison,6,113
Nueces,3,102
Hardin,3,100
McLennan,4,89
Kaufman,1,86
Bastrop,2,82
Guadalupe,0,81
Gregg,0,80
Midland,6,79
Ector,4,78
Rockwall,1,75
Bowie,2,74
Orange,1,71
Johnson,4,69
Wichita,2,65
Lamar,0,61
Matagorda,3,60
Gray,0,58
Comal,6,55
Angelina,0,54
Tom Green,1,48
Hunt,2,47
Liberty,0,43
Chambers,0,42
Jones,0,37
Wharton,0,37
Brown,4,36
Rusk,1,36
Grayson,0,34
Waller,0,33
Wilson,3,32
Deaf Smith,0,31
Navarro,2,31
Anderson,0,30
Calhoun,3,30
Parker,0,30
Hale,4,25
Henderson,0,25
Dawson,1,24
Donley,0,24
Maverick,0,24
Gonzales,2,21
Hockley,1,21
Mason,0,21
Andrews,0,20
Medina,2,20
Polk,0,20
Atascosa,1,19
Burnet,0,19
Grimes,1,19
Ochiltree,1,19
San Augustine,1,19
Fannin,0,18
Hood,3,18
Sherman,0,17
Titus,0,17
Wise,2,17
Cherokee,1,16
Hill,1,16
Jasper,1,16
Kendall,0,16
Milam,1,16
Castro,1,15
De Witt,1,15
Fayette,1,15
Upshur,0,15
Van Zandt,1,15
Caldwell,0,14
Cass,0,14
Hutchinson,0,14
Marion,0,14
Austin,0,13
Burleson,0,13
Willacy,1,13
Erath,1,12
Limestone,1,12
San Patricio,0,12
Val Verde,0,12
Colorado,0,11
Pecos,0,11
Terry,0,11
Dallam,1,10
San Jacinto,0,9
Starr,0,9
Swisher,0,9
Wood,0,9
Jackson,0,8
Kleberg,1,8
Parmer,0,8
Trinity,0,8
Cooke,0,7
Frio,0,7
Goliad,0,7
Palo Pinto,1,7
Wheeler,0,7
Zapata,0,7
Bandera,0,6
Bee,0,6
Blanco,0,6
Camp,0,6
Hansford,0,6
Houston,0,6
Lavaca,1,6
Leon,0,6
Montague,1,6
Tyler,0,6
Uvalde,0,6
Freestone,0,5
Hamilton,0,5
Hartley,0,5
Kerr,0,5
Live Oak,0,5
Lynn,1,5
Morris,0,5
Bosque,0,4
Falls,0,4
Hopkins,0,4
Howard,1,4
Jack,0,4
Robertson,0,4
Young,1,4
Clay,0,3
Comanche,1,3
Eastland,0,3
Floyd,0,3
Jim Hogg,0,3
Jim Wells,0,3
Karnes,0,3
Lamb,0,3
Lampasas,0,3
Llano,0,3
McCulloch,0,3
Oldham,1,3
Winkler,0,3
Aransas,0,2
Armstrong,0,2
Callahan,0,2
Carson,0,2
Cottle,0,2
Crane,0,2
Crosby,1,2
Duval,0,2
Gaines,0,2
Gillespie,0,2
Lee,0,2
Lipscomb,0,2
Martin,0,2
Newton,0,2
Rains,0,2
Roberts,0,2
Scurry,0,2
Brewster,0,1
Brooks,0,1
Childress,0,1
Cochran,0,1
Concho,0,1
Delta,0,1
Dickens,0,1
Dimmit,0,1
Franklin,0,1
Garza,0,1
Glasscock,0,1
Hemphill,0,1
Knox,0,1
La Salle,0,1
Madison,0,1
Mitchell,0,1
Motley,0,1
Nolan,0,1
Red River,0,1
Runnels,0,1
Sabine,0,1
Stephens,0,1
Wilbarger,0,1
Yoakum,0,1
Zavala,0,1
