County of Residence,Deaths,Number of Cases
Harris,144,7128
Dallas,121,4623
Tarrant,83,2686
Travis,58,1876
Bexar,52,1677
Fort Bend,30,1245
El Paso,22,1080
Potter,12,907
Denton,22,832
Collin,22,828
Montgomery,15,662
Galveston,28,659
Brazoria,7,570
Lubbock,46,567
Cameron,18,454
Moore,6,448
Webb,17,400
Taylor,6,378
Hidalgo,7,353
Jefferson,23,335
Williamson,11,333
Randall,3,310
Walker,2,303
Brazos,17,219
Bell,3,210
Coryell,2,190
Nacogdoches,7,189
Ellis,9,184
Hays,1,176
Harrison,6,160
Smith,3,156
Washington,18,150
Victoria,5,146
Panola,3,136
Shelby,4,131
Nueces,3,114
Hardin,3,112
Gregg,0,107
Kaufman,1,101
Bastrop,2,100
Johnson,4,95
Rockwall,3,95
McLennan,4,92
Midland,8,91
Guadalupe,0,88
Angelina,0,86
Ector,4,85
Jones,0,84
Orange,2,79
Bowie,2,76
Gray,0,71
Lamar,0,71
Wichita,2,70
Matagorda,3,62
Comal,6,59
Grayson,0,58
Tom Green,1,56
Hunt,3,54
Liberty,1,47
Chambers,0,45
Deaf Smith,0,41
Parker,0,41
Wharton,0,40
Rusk,1,39
Anderson,0,38
Brown,6,38
Waller,0,36
Calhoun,3,34
Wilson,4,34
Henderson,0,33
Navarro,2,33
Gonzales,2,31
Hale,4,31
Dawson,1,30
Polk,0,30
Wise,2,28
Mason,0,27
Maverick,0,26
Ochiltree,1,26
Donley,0,25
Grimes,1,25
Burnet,0,24
Caldwell,0,24
Titus,0,23
Fannin,1,22
Andrews,0,21
Atascosa,1,21
San Augustine,1,21
Castro,1,20
Cherokee,1,20
Hockley,1,20
Hutchinson,0,20
Medina,2,20
Hood,3,19
Hill,1,18
Jasper,1,18
Milam,1,18
Sherman,0,18
Van Zandt,1,18
Cass,0,17
Fayette,1,17
Kendall,0,17
Upshur,0,16
De Witt,1,15
Marion,0,15
Austin,0,14
Burleson,0,14
Jackson,0,14
Parmer,0,14
Pecos,0,14
San Patricio,0,14
Erath,1,13
Limestone,1,13
Val Verde,0,13
Willacy,1,13
Colorado,0,12
Terry,0,12
Wheeler,0,12
Cooke,0,11
Hansford,2,11
Swisher,0,11
Wood,0,11
Dallam,0,10
Frio,0,10
Kleberg,1,10
San Jacinto,0,10
Starr,0,10
Trinity,0,10
Houston,0,9
Montague,1,9
Morris,0,9
Palo Pinto,2,9
Camp,0,7
Freestone,0,7
Goliad,0,7
Hartley,2,7
Leon,0,7
Tyler,0,7
Zapata,0,7
Bandera,0,6
Bee,0,6
Blanco,0,6
Falls,0,6
Hopkins,0,6
Howard,1,6
Kerr,0,6
Lavaca,1,6
Uvalde,0,6
Bosque,0,5
Hamilton,0,5
Jim Wells,0,5
Lampasas,0,5
Live Oak,0,5
Lynn,1,5
Floyd,0,4
Gillespie,0,4
Jack,0,4
Lamb,0,4
Newton,0,4
Robertson,0,4
Young,1,4
Carson,0,3
Clay,0,3
Comanche,1,3
Cottle,0,3
Duval,0,3
Eastland,0,3
Franklin,0,3
Gaines,0,3
Garza,0,3
Jim Hogg,0,3
Karnes,0,3
Llano,0,3
McCulloch,0,3
Martin,1,3
Oldham,1,3
Winkler,0,3
Aransas,0,2
Armstrong,0,2
Bailey,0,2
Callahan,0,2
Crane,0,2
Crosby,1,2
Lee,0,2
Lipscomb,0,2
Nolan,0,2
Rains,0,2
Roberts,0,2
Runnels,0,2
Scurry,0,2
Wilbarger,0,2
Yoakum,0,2
Brewster,0,1
Briscoe,0,1
Brooks,0,1
Childress,0,1
Cochran,0,1
Coke,0,1
Coleman,0,1
Collingsworth,0,1
Concho,0,1
Delta,0,1
Dickens,0,1
Dimmit,0,1
Glasscock,0,1
Hemphill,0,1
Knox,0,1
La Salle,0,1
Madison,0,1
Mitchell,0,1
Motley,0,1
Red River,0,1
Refugio,0,1
Sabine,0,1
Stephens,0,1
Zavala,0,1
