County of Residence,Deaths,Number of Cases
Harris,140,6967
Dallas,114,4370
Tarrant,77,2624
Travis,53,1816
Bexar,48,1652
Fort Bend,28,1187
El Paso,22,1029
Potter,9,876
Denton,22,806
Collin,22,804
Galveston,28,648
Montgomery,15,640
Brazoria,7,566
Lubbock,45,560
Cameron,18,443
Moore,6,434
Webb,17,396
Taylor,5,356
Hidalgo,7,353
Jefferson,23,333
Williamson,10,328
Randall,3,296
Walker,2,293
Bell,3,210
Brazos,16,209
Nacogdoches,7,187
Coryell,2,180
Ellis,6,176
Hays,1,176
Smith,3,155
Harrison,6,149
Washington,18,147
Victoria,5,143
Panola,3,135
Shelby,4,129
Nueces,3,113
Hardin,3,112
Bastrop,2,98
Gregg,0,97
Kaufman,1,96
McLennan,4,91
Rockwall,3,91
Midland,8,90
Guadalupe,0,87
Johnson,4,87
Ector,4,84
Angelina,0,79
Bowie,2,79
Jones,0,78
Orange,2,77
Lamar,0,69
Gray,0,68
Wichita,2,68
Matagorda,3,62
Comal,6,58
Tom Green,1,56
Grayson,0,53
Hunt,3,52
Liberty,1,46
Chambers,0,45
Parker,0,40
Wharton,0,40
Brown,6,38
Deaf Smith,0,38
Rusk,1,38
Anderson,0,34
Calhoun,3,34
Wilson,3,34
Waller,0,33
Henderson,0,32
Gonzales,2,31
Navarro,2,31
Polk,0,30
Dawson,1,29
Hale,4,29
Wise,2,27
Mason,0,26
Maverick,0,26
Donley,0,25
Ochiltree,1,25
Burnet,0,24
Caldwell,0,23
Grimes,1,22
Andrews,0,21
Titus,0,21
Fannin,0,20
Hockley,1,20
Medina,2,20
Atascosa,1,19
Cherokee,1,19
Hood,3,19
Hutchinson,0,19
San Augustine,1,19
Castro,1,18
Hill,1,18
Jasper,1,18
Milam,1,18
Sherman,0,18
Fayette,1,17
Kendall,0,17
Cass,0,16
Van Zandt,1,16
De Witt,1,15
Marion,0,15
Upshur,0,15
Burleson,0,14
Jackson,0,14
Austin,0,13
Limestone,1,13
Parmer,0,13
Pecos,0,13
San Patricio,0,13
Val Verde,0,13
Willacy,1,13
Erath,1,12
Terry,0,12
Hansford,2,11
Wheeler,0,11
Wood,0,11
Colorado,0,10
Dallam,0,10
Frio,0,10
Kleberg,1,10
San Jacinto,0,10
Starr,0,10
Swisher,0,10
Cooke,0,9
Morris,0,9
Trinity,0,9
Houston,0,8
Montague,1,8
Palo Pinto,1,8
Camp,0,7
Freestone,0,7
Goliad,0,7
Hartley,1,7
Leon,0,7
Tyler,0,7
Zapata,0,7
Bandera,0,6
Bee,0,6
Blanco,0,6
Falls,0,6
Hopkins,0,6
Lavaca,1,6
Uvalde,0,6
Bosque,0,5
Hamilton,0,5
Howard,1,5
Jim Wells,0,5
Kerr,0,5
Lampasas,0,5
Live Oak,0,5
Lynn,1,5
Floyd,0,4
Gillespie,0,4
Jack,0,4
Lamb,0,4
Robertson,0,4
Young,1,4
Carson,0,3
Clay,0,3
Comanche,1,3
Cottle,0,3
Duval,0,3
Eastland,0,3
Gaines,0,3
Garza,0,3
Jim Hogg,0,3
Karnes,0,3
Llano,0,3
McCulloch,0,3
Martin,1,3
Oldham,1,3
Winkler,0,3
Aransas,0,2
Armstrong,0,2
Callahan,0,2
Crane,0,2
Crosby,1,2
Franklin,0,2
Lee,0,2
Lipscomb,0,2
Newton,0,2
Nolan,0,2
Rains,0,2
Roberts,0,2
Runnels,0,2
Scurry,0,2
Yoakum,0,2
Bailey,0,1
Brewster,0,1
Briscoe,0,1
Brooks,0,1
Childress,0,1
Cochran,0,1
Coke,0,1
Coleman,0,1
Collingsworth,0,1
Concho,0,1
Delta,0,1
Dickens,0,1
Dimmit,0,1
Glasscock,0,1
Hemphill,0,1
Knox,0,1
La Salle,0,1
Madison,0,1
Mitchell,0,1
Motley,0,1
Red River,0,1
Refugio,0,1
Sabine,0,1
Stephens,0,1
Wilbarger,0,1
Zavala,0,1
