County of Residence,Deaths,Number of Cases
Harris,109,6161
Dallas,99,3352
Tarrant,61,2149
Travis,44,1591
Bexar,46,1326
Fort Bend,24,1018
El Paso,18,887
Denton,20,748
Collin,19,710
Montgomery,12,582
Galveston,24,572
Lubbock,43,516
Potter,8,499
Brazoria,6,485
Cameron,17,401
Webb,16,358
Moore,3,327
Hidalgo,6,324
Jefferson,21,305
Williamson,8,293
Taylor,5,291
Walker,2,245
Randall,3,213
Brazos,16,193
Bell,3,189
Hays,1,165
Nacogdoches,7,157
Coryell,2,155
Ellis,6,148
Smith,3,142
Washington,15,142
Victoria,3,132
Panola,3,107
Shelby,4,106
Harrison,6,102
Hardin,3,99
Nueces,3,99
McLennan,4,88
Kaufman,1,86
Ector,4,81
Guadalupe,0,80
Midland,6,76
Rockwall,1,75
Bastrop,2,73
Gregg,0,73
Bowie,2,70
Orange,1,70
Johnson,4,69
Wichita,2,65
Matagorda,3,60
Comal,6,54
Angelina,0,53
Lamar,0,51
Tom Green,1,49
Gray,0,47
Hunt,2,44
Liberty,0,42
Chambers,0,41
Jones,0,37
Wharton,0,37
Brown,4,36
Rusk,1,35
Waller,0,32
Wilson,3,32
Deaf Smith,0,31
Grayson,0,31
Calhoun,3,30
Navarro,2,30
Parker,0,30
Anderson,0,29
Hale,4,25
Henderson,0,25
Ochiltree,1,25
Dawson,1,24
Donley,0,24
Gonzales,2,20
Hockley,1,20
Medina,2,20
Andrews,0,19
Atascosa,1,19
Burnet,0,19
Grimes,1,19
Polk,0,19
Fannin,0,18
Hood,3,18
Wise,2,17
Hill,1,16
Jasper,1,16
Kendall,0,16
Maverick,0,16
Milam,1,16
San Augustine,1,16
Titus,0,16
De Witt,1,15
Mason,0,15
Sherman,0,15
Caldwell,0,14
Cherokee,1,14
Fayette,1,14
Hutchinson,0,14
Upshur,0,14
Van Zandt,1,14
Austin,0,13
Cass,0,13
Castro,1,13
Marion,0,13
Willacy,1,13
Burleson,0,12
Erath,1,12
Limestone,1,12
San Patricio,0,12
Val Verde,0,12
Terry,0,11
Colorado,0,10
Dallam,1,10
Pecos,0,9
San Jacinto,0,9
Starr,0,9
Swisher,0,9
Kleberg,1,8
Trinity,0,8
Wood,0,8
Cooke,0,7
Frio,0,7
Goliad,0,7
Palo Pinto,1,7
Wheeler,0,7
Zapata,0,7
Bandera,0,6
Bee,0,6
Blanco,0,6
Camp,0,6
Hansford,0,6
Jackson,0,6
Lavaca,1,6
Montague,1,6
Parmer,0,6
Tyler,0,6
Uvalde,0,6
Hamilton,0,5
Houston,0,5
Kerr,0,5
Leon,0,5
Live Oak,0,5
Lynn,1,5
Morris,0,5
Bosque,0,4
Falls,0,4
Hartley,0,4
Hopkins,0,4
Howard,1,4
Jack,0,4
Young,1,4
Clay,0,3
Comanche,1,3
Eastland,0,3
Floyd,0,3
Freestone,0,3
Jim Hogg,0,3
Jim Wells,0,3
Karnes,0,3
Lamb,0,3
Lampasas,0,3
Llano,0,3
McCulloch,0,3
Oldham,1,3
Robertson,0,3
Winkler,0,3
Aransas,0,2
Armstrong,0,2
Callahan,0,2
Carson,0,2
Cottle,0,2
Crane,0,2
Crosby,1,2
Duval,0,2
Gaines,0,2
Lee,0,2
Lipscomb,0,2
Martin,0,2
Newton,0,2
Rains,0,2
Roberts,0,2
Scurry,0,2
Brooks,0,1
Childress,0,1
Cochran,0,1
Concho,0,1
Delta,0,1
Dickens,0,1
Dimmit,0,1
Franklin,0,1
Garza,0,1
Gillespie,0,1
Glasscock,0,1
Hemphill,0,1
Knox,0,1
La Salle,0,1
Madison,0,1
Mitchell,0,1
Motley,0,1
Nolan,0,1
Red River,0,1
Runnels,0,1
Sabine,0,1
Stephens,0,1
Wilbarger,0,1
Yoakum,0,1
Zavala,0,1
