County of Residence,Deaths,Number of Cases
Dallas,7,367
Harris,2,229
Travis,1,160
Denton,1,137
Bexar,5,125
Collin,1,118
Tarrant,1,114
Fort Bend,1,101
Brazoria,0,52
Galveston,0,49
Montgomery,0,47
Brazos,0,36
McLennan,0,34
Williamson,0,34
El Paso,0,31
Lubbock,0,31
Bell,1,28
Smith,1,27
Nueces,0,20
Webb,0,19
Hidalgo,0,18
Wichita,0,15
Cameron,0,13
Ellis,0,13
Hays,0,13
Jefferson,0,12
Matagorda,1,10
Comal,1,9
Castro,0,8
Guadalupe,0,8
Johnson,1,8
Midland,1,8
Hockley,0,7
Hardin,1,6
Kendall,0,6
Washington,0,5
Bastrop,0,4
Gregg,0,4
Parker,0,4
Val Verde,0,4
Bowie,0,3
Brown,0,3
Calhoun,0,3
Chambers,0,3
De Witt,0,3
Eastland,0,3
Hood,0,3
Lamar,0,3
Lavaca,0,3
Medina,0,3
Randall,0,3
Rockwall,0,3
Tom Green,0,3
Victoria,0,3
Walker,0,3
Wharton,0,3
Atascosa,0,2
Cass,0,2
Deaf Smith,0,2
Grayson,0,2
Grimes,0,2
Kaufman,0,2
Liberty,0,2
Llano,0,2
Milam,0,2
Potter,0,2
Robertson,0,2
Rusk,0,2
Starr,0,2
Taylor,0,2
Wilson,0,2
Andrews,0,1
Angelina,0,1
Austin,0,1
Blanco,0,1
Burleson,0,1
Burnet,0,1
Caldwell,0,1
Cherokee,0,1
Coryell,0,1
Crane,0,1
Erath,0,1
Falls,0,1
Fannin,0,1
Fayette,0,1
Gaines,0,1
Hale,0,1
Harrison,0,1
Hopkins,0,1
Hunt,0,1
Jackson,0,1
Karnes,0,1
Lamb,0,1
Limestone,0,1
Lynn,0,1
Martin,0,1
Maverick,0,1
Montague,0,1
Morris,0,1
Nacogdoches,0,1
Navarro,0,1
Oldham,1,1
Orange,0,1
San Patricio,0,1
Shelby,0,1
Terry,0,1
Upshur,0,1
Uvalde,0,1
Van Zandt,0,1
Willacy,0,1
Young,0,1
