County of Residence,Deaths,Number of Cases
Harris,46,3747
Dallas,32,1788
Tarrant,25,876
Travis,11,856
Bexar,33,794
Fort Bend,12,543
Denton,13,507
Collin,10,472
Galveston,9,377
Lubbock,21,317
El Paso,2,300
Montgomery,6,266
Brazoria,2,250
Cameron,3,216
Webb,8,206
Hidalgo,1,198
Brazos,12,143
Jefferson,6,134
Williamson,4,119
Bell,3,107
Smith,1,101
Victoria,0,87
Hays,0,82
Nueces,0,79
Potter,2,79
Randall,2,73
Ellis,3,72
McLennan,3,72
Taylor,1,68
Hardin,2,61
Nacogdoches,2,56
Wichita,0,56
Guadalupe,0,50
Matagorda,3,49
Ector,2,45
Gregg,0,45
Orange,0,45
Shelby,0,40
Tom Green,1,39
Comal,6,38
Walker,0,38
Washington,2,37
Moore,0,36
Coryell,0,34
Bowie,1,32
Kaufman,0,32
Midland,2,32
Johnson,1,31
Chambers,0,29
Wharton,0,28
Rockwall,0,24
Donley,0,22
Hunt,2,22
Harrison,1,20
Liberty,0,20
Panola,1,20
Bastrop,1,19
Calhoun,0,19
Waller,0,18
Angelina,0,17
Grayson,0,17
Navarro,2,16
Rusk,0,16
Hood,1,15
Parker,0,15
Hockley,1,14
Andrews,0,13
Gray,0,13
Medina,1,13
Austin,0,12
Erath,1,12
Kendall,0,12
Val Verde,0,12
Brown,1,11
Castro,1,11
Deaf Smith,0,11
Hale,2,11
Limestone,1,11
Polk,0,11
Wilson,0,11
De Witt,0,10
Fayette,0,10
Henderson,0,10
Maverick,0,10
Terry,0,10
Van Zandt,1,10
Atascosa,0,9
San Augustine,1,9
San Patricio,0,9
Upshur,0,9
Dawson,1,8
Hill,0,8
Lamar,0,8
Milam,0,8
San Jacinto,0,8
Cherokee,1,7
Colorado,0,7
Grimes,0,7
Jasper,0,7
Starr,0,7
Titus,0,7
Burleson,0,6
Burnet,0,6
Caldwell,0,6
Uvalde,0,6
Wood,0,6
Camp,0,5
Cass,0,5
Fannin,0,5
Lynn,0,5
Montague,0,5
Palo Pinto,1,5
Willacy,1,5
Wise,0,5
Blanco,0,4
Goliad,0,4
Hopkins,0,4
Jackson,0,4
Lavaca,0,4
Swisher,0,4
Trinity,0,4
Anderson,0,3
Bee,0,3
Comanche,0,3
Eastland,0,3
Hutchinson,0,3
Karnes,0,3
Leon,0,3
Live Oak,0,3
Llano,0,3
McCulloch,0,3
Morris,0,3
Oldham,1,3
Young,0,3
Zapata,0,3
Aransas,0,2
Bandera,0,2
Clay,0,2
Crane,0,2
Dallam,0,2
Gaines,0,2
Gonzales,0,2
Hamilton,0,2
Jack,0,2
Jim Wells,0,2
Jones,0,2
Kerr,0,2
Kleberg,1,2
Lamb,0,2
Lampasas,0,2
Lee,0,2
Martin,0,2
Newton,0,2
Robertson,0,2
Tyler,0,2
Armstrong,0,1
Callahan,0,1
Concho,0,1
Cooke,0,1
Crosby,0,1
Delta,0,1
Dickens,0,1
Dimmit,0,1
Duval,0,1
Falls,0,1
Floyd,0,1
Franklin,0,1
Frio,0,1
Gillespie,0,1
Hansford,0,1
Hemphill,0,1
Howard,1,1
Knox,0,1
Mason,0,1
Mitchell,0,1
Motley,0,1
Pecos,0,1
Rains,0,1
Stephens,0,1
Wilbarger,0,1
Winkler,0,1
