County of Residence,Deaths,Number of Cases,Recoveries,Active
Harris,188,8621,3315,4918
Dallas,153,6602,2819,3392
Tarrant,114,4076,821,2880
Travis,72,2288,782,1382
Bexar,58,1976,1050,835
El Paso,41,1456,751,629
Fort Bend,40,1452,249,1115
Potter,21,1421,223,1088
Denton,25,989,534,409
Collin,30,978,668,266
Montgomery,17,758,261,464
Brazoria,9,710,362,315
Galveston,30,691,424,235
Lubbock,50,607,335,220
Cameron,25,569,330,189
Moore,9,534,238,274
Webb,17,445,231,196
Randall,4,444,130,279
Williamson,16,424,231,150
Hidalgo,10,409,235,160
Jefferson,26,396,242,131
Walker,19,363,171,220
Brazos,18,301,122,147
Bell,3,237,145,83
Ellis,11,236,122,88
Nacogdoches,9,227,114,101
Coryell,2,220,22,193
Hays,3,217,144,67
Taylor,6,214,230,-23
Harrison,9,195,69,114
Nueces,3,186,80,91
Smith,3,186,127,55
Washington,22,175,37,116
Shelby,5,167,88,70
Panola,8,155,65,76
Victoria,6,154,114,30
Gregg,0,138,63,73
Kaufman,1,137,72,60
Bastrop,2,125,41,77
Rockwall,4,123,63,49
Grayson,0,122,55,57
Bowie,2,120,60,20
Angelina,1,119,30,86
Johnson,4,117,56,50
Hardin,4,116,86,26
Midland,12,115,39,61
Jones,0,110,30,71
Lamar,4,105,42,58
Ector,4,102,74,22
Guadalupe,0,101,73,26
McLennan,4,96,88,4
Deaf Smith,2,93,22,68
Orange,2,84,62,20
Gray,0,77,36,41
Wichita,2,77,53,21
Titus,0,74,13,46
Liberty,2,72,36,35
Houston,0,71,4,17
Gonzales,2,70,13,47
Comal,6,68,55,7
Matagorda,5,62,54,5
Tom Green,1,59,41,17
Hunt,3,58,43,12
Grimes,1,56,10,43
Parker,0,56,27,20
Maverick,0,52,15,26
Anderson,0,51,19,31
Brown,7,51,25,19
Chambers,0,50,42,8
Henderson,0,47,21,26
Medina,2,47,16,27
Polk,0,46,16,24
Wharton,0,42,33,9
Hale,4,41,28,8
Ochiltree,2,40,19,20
Rusk,1,40,28,11
Navarro,2,37,27,8
Waller,0,37,27,10
Calhoun,3,36,24,9
Wilson,4,36,25,7
Wise,2,36,13,20
Frio,0,34,6,28
Caldwell,0,33,7,26
Red River,0,33,1,27
Dawson,1,32,17,14
