County of Residence,Deaths,Number of Cases,Recoveries,Active
Harris,160,7594,2779,4315
Dallas,135,5369,2294,2452
Tarrant,95,3127,682,2043
Travis,60,2071,659,1230
Bexar,56,1835,867,841
Fort Bend,36,1357,213,1042
El Paso,32,1276,619,477
Potter,15,1101,122,834
Denton,25,902,421,403
Collin,27,887,569,248
Montgomery,16,699,249,408
Galveston,29,676,394,247
Brazoria,9,644,319,262
Lubbock,49,583,294,234
Cameron,22,494,247,203
Moore,8,494,137,311
Webb,17,424,182,211
Hidalgo,7,377,218,134
Williamson,12,361,205,124
Jefferson,25,360,179,134
Randall,3,355,95,235
Walker,2,337,110,203
Brazos,18,256,119,96
Bell,3,220,123,87
Taylor,6,208,151,49
Coryell,2,207,19,180
Hays,2,203,117,58
Ellis,11,202,91,87
Nacogdoches,7,202,86,109
Harrison,6,180,49,112
Smith,3,170,109,53
Washington,18,164,32,103
Shelby,4,149,70,70
Victoria,5,148,89,52
Panola,3,138,49,87
Nueces,3,128,73,41
Gregg,0,117,47,62
Kaufman,1,116,48,57
Hardin,3,113,76,34
Bastrop,2,108,34,71
Midland,11,101,30,55
Angelina,0,100,19,74
Johnson,4,100,43,50
Rockwall,4,100,40,53
Ector,4,95,63,23
McLennan,4,94,83,5
Guadalupe,0,92,57,33
Jones,0,92,3,81
Orange,2,85,52,27
Grayson,0,83,26,34
Lamar,0,77,7,69
Bowie,2,76,55,19
Wichita,2,74,51,17
Gray,0,73,23,50
Comal,6,65,44,11
Liberty,1,62,30,17
Matagorda,3,62,49,10
Tom Green,1,59,36,21
Hunt,3,57,32,19
Chambers,0,48,39,8
Deaf Smith,0,46,15,26
Parker,0,45,19,24
Grimes,1,42,5,19
Anderson,0,41,11,29
Wharton,0,41,31,9
Gonzales,2,40,3,26
Rusk,1,40,24,15
Brown,6,38,17,15
Waller,0,38,22,15
Hale,4,37,18,15
Calhoun,3,36,19,12
Henderson,0,36,18,16
Navarro,2,36,22,10
Polk,0,35,11,19
Frio,0,34,1,24
Wilson,4,34,20,10
Dawson,1,30,14,15
Wise,2,30,10,5
Ochiltree,1,29,0,27
Titus,0,29,10,17
Mason,0,28,1,27
Burnet,0,26,8,16
Caldwell,0,26,6,19
Maverick,0,26,12,14
Donley,0,25,21,4
Fayette,1,24,9,9
Fannin,1,23,11,11
Atascosa,1,22,11,10
Castro,1,22,11,10
Medina,2,22,13,6
Andrews,0,21,16,5
San Augustine,1,21,7,13
Hockley,1,20,15,3
Hutchinson,0,20,8,11
Milam,1,20,12,5
Sherman,0,20,8,11
Hill,1,19,8,9
Hood,3,19,12,4
Jasper,1,19,8,9
Kendall,0,19,14,4
Parmer,0,19,2,15
Cherokee,1,18,7,12
San Patricio,0,18,10,6
Van Zandt,1,18,10,7
Cass,0,17,9,8
Upshur,0,17,10,6
Colorado,0,16,8,4
Marion,0,16,5,10
Austin,0,15,11,3
Burleson,0,15,3,11
DeWitt,1,15,12,2
Pecos,0,15,5,9
Erath,1,14,10,4
Jackson,0,14,5,9
Limestone,1,14,5,7
Starr,0,14,7,3
Willacy,1,14,8,5
Dallam,0,13,2,8
Val Verde,0,13,11,2
Wheeler,0,13,1,11
Wood,0,13,5,6
Cooke,0,12,3,3
Hansford,2,12,2,7
Terry,0,12,9,3
Swisher,0,11,5,6
Trinity,0,11,6,4
Houston,0,10,3,7
Kleberg,1,10,5,4
San Jacinto,0,10,7,3
Kerr,0,9,4,2
Leon,0,9,3,4
Montague,1,9,4,4
Morris,0,9,4,5
Palo Pinto,2,9,5,2
Hartley,2,8,2,3
Lampasas,0,8,2,4
Camp,0,7,5,2
Freestone,0,7,2,5
Goliad,0,7,5,2
Hopkins,0,7,4,3
Tyler,0,7,5,2
Zapata,0,7,6,1
Bandera,0,6,3,3
Bee,0,6,5,1
Blanco,0,6,5,1
Callahan,1,6,1,3
Falls,0,6,1,5
Hamilton,0,6,1,4
Howard,1,6,1,4
Jim Wells,0,6,2,3
Lavaca,1,6,4,1
Uvalde,0,6,6,0
Bosque,0,5,2,3
Duval,0,5,1,2
Lamb,0,5,2,3
Lee,0,5,2,0
Live Oak,0,5,5,0
Lynn,1,5,4,0
Robertson,0,5,2,3
Cottle,1,4,0,3
Floyd,0,4,2,2
Gillespie,0,4,1,3
Jack,0,4,3,1
Newton,0,4,2,2
Young,1,4,3,0
Carson,0,3,1,2
Clay,0,3,3,0
Comanche,1,3,3,0
Eastland,0,3,3,0
Franklin,0,3,1,2
Gaines,0,3,2,1
Garza,0,3,0,3
Jim Hogg,0,3,1,2
Karnes,0,3,3,0
Llano,0,3,3,0
McCulloch,0,3,2,1
Madison,0,3,2,0
Martin,1,3,2,0
Oldham,1,3,2,0
Red River,0,3,1,1
Winkler,0,3,2,1
Aransas,0,2,2,0
Armstrong,0,2,1,1
Bailey,0,2,0,2
Coleman,0,2,0,2
Crane,0,2,2,0
Crosby,1,2,0,1
La Salle,0,2,1,0
Lipscomb,0,2,0,2
