County of Residence,Deaths,Number of Cases,Recoveries,Active
Harris,199,9050,3566,5058
Dallas,164,7036,3080,3598
Tarrant,120,4266,1151,2943
Travis,77,2381,862,1409
Bexar,62,2120,1071,911
Potter,23,2080,292,1147
El Paso,45,1655,819,745
Fort Bend,40,1510,296,1135
Denton,28,1040,548,440
Collin,31,1008,685,278
Montgomery,18,798,277,478
Brazoria,9,721,376,327
Galveston,31,696,434,229
Lubbock,50,616,373,191
Randall,4,593,139,334
Cameron,26,582,352,204
Moore,11,544,280,251
Webb,17,469,269,165
Williamson,19,451,255,168
Jefferson,26,436,252,151
Hidalgo,10,425,253,154
Walker,19,405,218,136
Brazos,18,312,144,143
Bell,3,248,149,90
Ellis,12,247,126,104
Nacogdoches,17,233,132,80
Nueces,3,231,88,118
Coryell,2,224,26,193
Hays,3,219,144,72
Taylor,6,217,263,45
Harrison,19,200,89,92
Smith,3,189,132,54
Washington,22,181,39,118
Shelby,5,173,98,69
Gregg,0,170,72,70
Panola,15,159,102,41
Victoria,6,154,123,25
Kaufman,1,147,74,68
Grayson,0,140,62,67
Angelina,1,139,30,100
Rockwall,5,134,64,56
Bastrop,2,132,41,85
Bowie,3,130,64,56
Johnson,4,123,57,58
Deaf Smith,6,120,26,91
Midland,12,120,39,65
Hardin,4,117,89,23
Jones,0,112,30,80
Lamar,4,111,50,57
Ector,4,109,75,24
Guadalupe,0,109,75,31
McLennan,4,97,89,3
Titus,1,96,15,67
Gray,0,91,49,39
Orange,2,87,65,20
Wichita,2,78,57,19
Houston,0,76,5,69
Gonzales,2,75,16,55
Liberty,2,75,38,32
Comal,6,70,56,6
Hunt,3,66,43,20
Grimes,1,65,10,52
Matagorda,5,63,54,4
Tom Green,1,61,44,15
Maverick,0,57,21,36
Parker,0,57,27,30
Anderson,0,54,25,27
Chambers,0,52,44,8
Brown,7,51,25,19
Medina,2,49,17,29
Henderson,0,48,22,26
Polk,0,47,16,31
Hale,4,43,29,9
Rusk,1,42,31,8
Wharton,0,42,35,7
Ochiltree,2,39,14,24
Waller,0,39,30,8
Dawson,1,38,20,15
Navarro,2,38,27,9
Caldwell,0,36,7,28
Calhoun,3,36,25,8
Wilson,4,36,25,7
Wise,2,36,13,21
Frio,0,35,6,28
Red River,0,35,1,34
Cherokee,1,34,13,17
Mason,0,31,17,11
Atascosa,1,30,16,13
Fayette,2,29,9,15
Burnet,0,28,14,14
Castro,1,26,13,13
Donley,0,25,24,2
Fannin,2,25,15,8
Hutchinson,0,25,12,13
Parmer,0,25,6,17
San Patricio,0,25,14,11
Hockley,1,23,19,3
Jasper,1,23,13,9
Milam,1,23,18,4
Sherman,0,23,14,9
Andrews,0,22,18,4
Hill,1,22,10,11
Hood,3,22,14,5
San Augustine,1,22,11,10
Van Zandt,1,22,13,8
Camp,0,21,5,11
Kendall,0,21,15,5
Dallam,0,20,7,14
Pecos,0,20,9,11
Austin,0,19,13,4
Cass,0,19,12,6
Burleson,0,18,3,14
Colorado,0,18,10,8
Upshur,0,18,14,4
Wood,0,18,8,9
DeWitt,1,17,13,3
Starr,0,17,9,7
Hansford,2,16,5,8
Erath,1,15,11,3
Jackson,1,15,7,1
Limestone,1,15,8,6
Marion,0,15,11,4
Kleberg,1,14,6,6
