County of Residence,Deaths,Number of Cases
Harris,58,4097
Dallas,43,1986
Tarrant,30,990
Travis,17,977
Bexar,37,890
Fort Bend,15,627
Denton,14,547
Collin,10,494
Galveston,13,401
El Paso,6,393
Lubbock,25,367
Montgomery,6,331
Brazoria,3,272
Cameron,3,254
Webb,10,239
Hidalgo,2,225
Brazos,13,151
Jefferson,6,143
Williamson,4,128
Bell,3,115
Hays,1,109
Smith,1,108
Potter,2,92
Victoria,1,89
Nueces,0,83
Ellis,3,81
Randall,2,80
Taylor,1,79
McLennan,4,74
Coryell,1,70
Nacogdoches,6,69
Hardin,2,66
Moore,0,59
Walker,0,58
Wichita,0,57
Guadalupe,0,53
Shelby,0,51
Matagorda,3,50
Ector,2,48
Gregg,0,48
Orange,0,47
Washington,3,46
Bowie,1,45
Comal,6,43
Tom Green,1,40
Bastrop,1,37
Johnson,1,37
Midland,2,37
Harrison,1,35
Chambers,0,33
Kaufman,0,33
Panola,1,32
Wharton,0,32
Rockwall,0,30
Hunt,2,25
Liberty,0,25
Rusk,0,24
Donley,0,23
Waller,0,22
Angelina,0,20
Andrews,0,19
Calhoun,0,19
Grayson,0,19
Navarro,2,18
Parker,0,17
Gray,0,16
Hockley,1,15
Hood,1,15
Medina,2,15
Kendall,0,14
Polk,0,14
Fayette,0,13
Wilson,1,13
Austin,0,12
Brown,1,12
Erath,1,12
Henderson,0,12
Val Verde,0,12
Castro,1,11
Deaf Smith,0,11
Hale,2,11
Limestone,1,11
San Augustine,1,11
Van Zandt,1,11
De Witt,0,10
Maverick,0,10
San Jacinto,0,10
Terry,0,10
Atascosa,0,9
Grimes,1,9
Hill,1,9
Upshur,0,9
Burleson,0,8
Cherokee,1,8
Dawson,1,8
Milam,0,8
San Patricio,0,8
Titus,0,8
Burnet,0,7
Caldwell,0,7
Colorado,0,7
Lamar,0,7
Starr,0,7
Trinity,0,7
Willacy,1,7
Wise,1,7
Anderson,0,6
Camp,0,6
Hutchinson,0,6
Jasper,0,6
Palo Pinto,1,6
Uvalde,0,6
Wood,0,6
Cass,0,5
Fannin,0,5
Goliad,0,5
Lynn,0,5
Montague,0,5
Pecos,0,5
Blanco,0,4
Hopkins,0,4
Jackson,0,4
Kerr,0,4
Lavaca,0,4
Leon,0,4
Sherman,0,4
Swisher,0,4
Tyler,0,4
Young,1,4
Zapata,0,4
Bandera,0,3
Bee,0,3
Clay,0,3
Comanche,0,3
Eastland,0,3
Hamilton,0,3
Jack,0,3
Jones,0,3
Karnes,0,3
Kleberg,1,3
Live Oak,0,3
Llano,0,3
McCulloch,0,3
Marion,0,3
Morris,0,3
Oldham,1,3
Aransas,0,2
Cooke,0,2
Crane,0,2
Dallam,0,2
Floyd,0,2
Gaines,0,2
Gonzales,0,2
Jim Wells,0,2
Lamb,0,2
Lampasas,0,2
Lee,0,2
Martin,0,2
Newton,0,2
Rains,0,2
Robertson,0,2
Winkler,0,2
Armstrong,0,1
Bosque,0,1
Callahan,0,1
Concho,0,1
Crosby,1,1
Delta,0,1
Dickens,0,1
Dimmit,0,1
Duval,0,1
Falls,0,1
Franklin,0,1
Freestone,0,1
Frio,0,1
Gillespie,0,1
Hansford,0,1
Hemphill,0,1
Howard,1,1
Knox,0,1
La Salle,0,1
Madison,0,1
Mason,0,1
Mitchell,0,1
Motley,0,1
Red River,0,1
Roberts,0,1
Sabine,0,1
Scurry,0,1
Stephens,0,1
Wilbarger,0,1
