County of Residence,Deaths,Number of Cases
Harris,13,1106
Dallas,17,921
Travis,4,430
Tarrant,7,383
Bexar,9,342
Denton,6,273
Collin,2,256
Fort Bend,2,255
Lubbock,4,138
Brazoria,1,136
Galveston,0,136
Montgomery,3,130
El Paso,0,96
Hidalgo,0,86
Webb,5,83
Brazos,5,72
Williamson,1,71
Cameron,0,62
Smith,1,57
Bell,1,51
McLennan,1,50
Hays,0,47
Nueces,0,47
Wichita,0,46
Matagorda,2,33
Victoria,0,32
Ellis,2,29
Jefferson,0,29
Guadalupe,0,26
Potter,0,24
Randall,0,24
Taylor,0,23
Ector,0,22
Midland,1,22
Johnson,1,21
Comal,2,18
Bowie,1,17
Tom Green,0,17
Washington,0,17
Nacogdoches,2,15
Hardin,1,14
Gregg,0,13
Grayson,0,12
Orange,0,12
Chambers,0,11
Rockwall,0,11
Rusk,0,11
Shelby,0,11
Angelina,0,10
Castro,1,10
Fayette,0,10
Kaufman,0,10
Hood,1,9
Kendall,0,9
Wharton,0,9
Calhoun,0,8
Hunt,0,8
Walker,0,8
Waller,0,8
Bastrop,0,7
Erath,1,7
Hockley,1,7
Polk,0,7
De Witt,0,6
Hale,0,6
Moore,0,6
Parker,0,6
Wilson,0,6
Cherokee,0,5
Deaf Smith,0,5
Donley,0,5
Gray,0,5
Harrison,1,5
Hill,0,5
Lamar,0,5
Liberty,0,5
Navarro,1,5
Starr,0,5
Val Verde,0,5
Willacy,0,5
Austin,0,4
Brown,0,4
Burnet,0,4
Cass,0,4
Coryell,0,4
Maverick,0,4
Panola,1,4
San Augustine,1,4
San Patricio,0,4
Terry,0,4
Uvalde,0,4
Van Zandt,1,4
Caldwell,0,3
Dawson,0,3
Eastland,0,3
Grimes,0,3
Hopkins,0,3
Jackson,0,3
Limestone,1,3
Live Oak,0,3
Llano,0,3
Lynn,0,3
Medina,0,3
Upshur,0,3
Wise,0,3
Young,0,3
Atascosa,0,2
Blanco,0,2
Burleson,0,2
Colorado,0,2
Crane,0,2
Fannin,0,2
Gillespie,0,2
Hutchinson,0,2
Jasper,0,2
Jim Wells,0,2
Karnes,0,2
Kerr,0,2
Kleberg,0,2
Lavaca,0,2
Lee,0,2
Leon,0,2
Milam,0,2
Oldham,1,2
Robertson,0,2
Trinity,0,2
Anderson,0,1
Andrews,0,1
Camp,0,1
Clay,0,1
Comanche,0,1
Falls,0,1
Franklin,0,1
Gaines,0,1
Goliad,0,1
Gonzales,0,1
Hemphill,0,1
Henderson,0,1
Lamb,0,1
Lampasas,0,1
Martin,0,1
Mason,0,1
Montague,0,1
Morris,0,1
Newton,0,1
Palo Pinto,0,1
San Jacinto,0,1
Swisher,0,1
Titus,0,1
Tyler,0,1
Wood,0,1
