County of Residence,Deaths,Number of Cases
Harris,23,2146
Dallas,19,1261
Travis,7,554
Tarrant,18,517
Bexar,18,503
Fort Bend,7,417
Denton,7,366
Collin,4,343
Galveston,5,272
Montgomery,4,197
Lubbock,6,191
Brazoria,1,173
El Paso,0,153
Webb,6,135
Hidalgo,1,113
Cameron,1,108
Brazos,7,97
Williamson,4,87
Jefferson,4,78
Smith,1,75
Bell,2,71
Nueces,0,65
McLennan,1,62
Hays,0,61
Victoria,0,59
Wichita,0,48
Potter,1,47
Guadalupe,0,45
Ellis,2,41
Hardin,1,41
Randall,1,40
Matagorda,3,38
Taylor,1,38
Ector,1,30
Midland,1,30
Orange,0,29
Comal,2,27
Johnson,1,25
Nacogdoches,2,25
Tom Green,0,25
Washington,1,23
Gregg,0,22
Bowie,1,20
Chambers,0,19
Bastrop,1,17
Shelby,0,17
Wharton,0,17
Kaufman,0,16
Grayson,0,15
Liberty,0,15
Angelina,0,14
Hunt,0,14
Rockwall,0,14
Rusk,0,14
Donley,0,13
Calhoun,0,12
Coryell,0,12
Gray,0,11
Waller,0,11
Andrews,0,10
Castro,1,10
Harrison,1,10
Hockley,1,10
Hood,1,10
Walker,0,10
Erath,1,9
Fayette,0,9
Kendall,0,9
Moore,0,9
Polk,0,8
Wilson,0,8
Austin,0,7
Deaf Smith,0,7
De Witt,0,7
Hale,0,7
Maverick,0,7
Medina,0,7
Milam,0,7
San Patricio,0,7
Starr,0,7
Van Zandt,1,7
Willacy,1,7
Brown,0,6
Cherokee,0,6
Colorado,0,6
Grimes,0,6
Hill,0,6
Lamar,0,6
Limestone,1,6
Parker,0,6
Terry,0,6
Upshur,0,6
Val Verde,0,6
Atascosa,0,5
Burleson,0,5
Burnet,0,5
Caldwell,0,5
Dawson,1,5
Uvalde,0,5
Blanco,0,4
Cass,0,4
Fannin,0,4
Henderson,0,4
Hopkins,0,4
Jackson,0,4
Navarro,0,4
Panola,1,4
San Augustine,1,4
Wood,0,4
Comanche,0,3
Eastland,0,3
Goliad,0,3
Lavaca,0,3
Live Oak,0,3
Llano,0,3
Lynn,0,3
Oldham,1,3
Palo Pinto,0,3
San Jacinto,0,3
Wise,0,3
Young,0,3
Aransas,0,2
Camp,0,2
Crane,0,2
Hutchinson,0,2
Jasper,0,2
Jim Wells,0,2
Karnes,0,2
Kerr,0,2
Kleberg,0,2
Lampasas,0,2
Lee,0,2
Leon,0,2
Martin,0,2
Robertson,0,2
Swisher,0,2
Titus,0,2
Trinity,0,2
Anderson,0,1
Bee,0,1
Callahan,0,1
Clay,0,1
Crosby,0,1
Dallam,0,1
Delta,0,1
Dickens,0,1
Falls,0,1
Floyd,0,1
Franklin,0,1
Frio,0,1
Gaines,0,1
Gillespie,0,1
Gonzales,0,1
Hamilton,0,1
Hansford,0,1
Hemphill,0,1
Jones,0,1
Knox,0,1
Lamb,0,1
Mason,0,1
Mitchell,0,1
Montague,0,1
Morris,0,1
Newton,0,1
Pecos,0,1
Tyler,0,1
Zapata,0,1
