County of Residence,Deaths,Number of Cases,Recoveries,Active
Harris,193,8817,3416,5017
Dallas,159,6837,2926,3523
Tarrant,117,4211,828,3134
Travis,74,2345,826,1390
Bexar,59,2041,1051,867
El Paso,43,1607,793,622
Fort Bend,40,1471,270,1142
Potter,23,1462,255,1145
Denton,28,1016,541,423
Collin,30,993,661,287
Montgomery,18,773,272,469
Brazoria,9,712,371,330
Galveston,30,693,430,231
Lubbock,50,614,355,202
Cameron,26,582,352,192
Moore,9,540,264,261
Randall,4,477,136,304
Webb,17,451,249,179
Williamson,19,442,249,159
Jefferson,26,429,246,124
Hidalgo,10,417,238,161
Walker,19,373,198,146
Brazos,18,305,143,140
Bell,3,242,149,85
Ellis,11,241,126,99
Nacogdoches,17,229,129,89
Coryell,2,221,26,192
Hays,3,219,144,70
Taylor,6,215,240,0
Nueces,3,209,80,103
Harrison,19,200,80,106
Smith,3,189,130,53
Washington,22,179,38,115
Shelby,5,172,88,74
Panola,15,158,85,62
Victoria,6,154,119,29
Kaufman,1,143,73,63
Gregg,0,142,66,72
Angelina,1,131,30,88
Grayson,0,129,60,62
Bastrop,2,128,41,82
Rockwall,5,125,63,56
Bowie,2,122,61,57
Deaf Smith,2,119,26,65
Johnson,4,119,57,56
Hardin,4,116,89,23
Midland,12,116,39,64
Lamar,4,111,42,59
Jones,0,110,30,80
Guadalupe,0,106,74,27
Ector,4,103,74,24
McLennan,4,96,89,3
Gray,0,88,40,37
Orange,2,87,64,18
Titus,1,83,14,60
Wichita,2,78,53,22
Houston,0,74,4,67
Gonzales,2,73,15,53
Liberty,2,72,37,33
Comal,6,68,55,7
Hunt,3,66,43,12
Grimes,1,63,10,45
Matagorda,5,63,54,3
Tom Green,1,60,45,13
Maverick,0,57,15,37
Parker,0,57,27,29
Anderson,0,52,24,27
Chambers,0,52,44,6
Brown,7,51,25,19
Henderson,0,48,22,25
Medina,2,48,17,28
Polk,0,47,16,30
Hale,4,42,29,8
Wharton,0,42,35,7
Ochiltree,2,40,19,19
Rusk,1,40,30,9
Navarro,2,38,27,8
Waller,0,38,29,8
Calhoun,3,36,25,8
Dawson,1,36,19,12
Wilson,4,36,25,7
Wise,2,36,13,21
Caldwell,0,35,7,26
Red River,0,35,1,32
Frio,0,34,6,28
Cherokee,1,31,12,14
Atascosa,1,30,16,10
Burnet,0,28,14,14
Mason,0,28,12,16
Castro,1,27,12,12
Donley,0,26,24,1
Fayette,2,26,9,17
Hutchinson,0,25,12,13
San Patricio,0,25,14,9
Fannin,1,24,15,8
Hockley,1,23,18,3
Jasper,1,23,13,5
Milam,1,23,18,3
Parmer,0,23,5,18
Sherman,0,23,12,11
Andrews,0,22,17,5
Hill,1,22,10,11
Hood,3,22,14,5
San Augustine,1,22,11,10
Van Zandt,1,22,12,9
Dallam,0,21,7,12
Kendall,0,20,15,5
Pecos,0,20,7,13
Cass,0,18,11,6
Colorado,0,18,9,9
Upshur,0,18,13,4
Austin,0,17,12,4
Burleson,0,17,3,14
DeWitt,1,17,13,3
Wood,0,17,7,8
Camp,0,16,5,8
Starr,0,16,9,5
Erath,1,15,11,3
Hansford,2,15,5,8
Jackson,1,15,6,1
Limestone,1,15,8,6
Marion,0,15,10,5
Swisher,0,14,8,5
Wheeler,0,14,6,8
Willacy,1,14,10,3
Cooke,0,13,6,7
Kleberg,1,13,6,4
Val Verde,0,13,12,1
San Jacinto,0,12,8,4
Terry,0,12,10,2
Trinity,0,11,7,4
Kerr,0,10,4,6
Lamb,0,10,3,7
Morris,0,10,5,5
Hartley,2,9,3,4
Leon,0,9,4,5
Montague,1,9,4,4
Palo Pinto,2,9,5,2
Zavala,0,9,1,8
Callahan,1,8,2,5
Hopkins,0,8,4,4
Lampasas,0,8,3,5
Freestone,0,7,2,6
Goliad,0,7,6,1
Hamilton,0,7,3,4
Jim Wells,0,7,3,4
Lavaca,1,7,5,1
Tyler,0,7,5,2
Zapata,0,7,6,1
Bandera,0,6,5,1
Bee,0,6,5,1
Blanco,0,6,6,0
Bosque,0,6,2,4
Falls,0,6,2,4
Howard,1,6,2,3
Lee,0,6,2,4
Live Oak,0,6,5,0
Madison,0,6,2,2
Robertson,0,6,2,4
Uvalde,0,6,6,0
Duval,0,5,2,3
Gaines,0,5,2,2
Lynn,1,5,4,0
Wilbarger,0,5,1,1
Collingsworth,0,4,0,4
Cottle,1,4,2,1
Eastland,0,4,3,1
Floyd,0,4,3,1
Franklin,0,4,1,3
Garza,0,4,1,3
Gillespie,0,4,1,3
Jack,0,4,3,1
Karnes,0,4,3,1
La Salle,0,4,1,3
Newton,0,4,2,2
Oldham,1,4,2,0
Young,1,4,3,0
Aransas,0,3,2,1
Bailey,0,3,0,3
Carson,0,3,2,1
Clay,0,3,3,0
Comanche,1,3,2,0
Jim Hogg,0,3,2,1
Llano,0,3,3,0
McCulloch,0,3,3,0
Martin,1,3,2,0
Reeves,0,3,0,1
Refugio,0,3,0,3
Sabine,0,3,1,2
Winkler,0,3,3,0
Armstrong,0,2,2,0
Childress,0,2,1,1
Coleman,0,2,0,2
Crane,0,2,2,0
Crosby,1,2,1,0
Lipscomb,0,2,2,0
Nolan,0,2,2,0
Rains,0,2,2,0
Roberts,0,2,2,0
Runnels,0,2,1,1
Scurry,0,2,2,0
Stephens,0,2,1,1
Yoakum,0,2,1,1
Archer,0,1,0,0
Brewster,0,1,0,1
Briscoe,0,1,0,1
Brooks,0,1,1,0
Cochran,0,1,1,0
Coke,0,1,0,1
Concho,0,1,1,0
Delta,0,1,1,0
Dickens,0,1,1,0
Dimmit,0,1,1,0
Fisher,0,1,0,0
Glasscock,0,1,1,0
Haskell,0,1,0,0
Hemphill,0,1,1,0
Kimble,0,1,0,1
Knox,0,1,1,0
Mitchell,0,1,1,0
Motley,0,1,1,0
Shackelford,0,1,0,1
