County of Residence,Deaths,Number of Cases
Harris,31,2341
Dallas,20,1324
Travis,7,597
Tarrant,19,588
Bexar,20,554
Fort Bend,7,437
Denton,7,398
Collin,5,378
Galveston,5,287
Lubbock,7,214
Montgomery,4,210
El Paso,0,192
Brazoria,1,184
Webb,6,155
Hidalgo,1,139
Cameron,1,118
Brazos,8,108
Williamson,4,97
Jefferson,5,87
Smith,1,82
Hays,0,77
Bell,2,74
Nueces,0,69
Victoria,0,66
McLennan,1,62
Potter,1,58
Randall,2,52
Ellis,2,50
Wichita,0,50
Guadalupe,0,46
Taylor,1,43
Hardin,1,41
Matagorda,3,38
Gregg,0,35
Ector,1,34
Midland,1,30
Orange,0,30
Comal,3,29
Washington,1,28
Johnson,1,25
Nacogdoches,2,25
Tom Green,0,25
Bowie,1,23
Shelby,0,23
Chambers,0,22
Kaufman,0,19
Wharton,0,18
Coryell,0,17
Bastrop,1,16
Angelina,0,15
Grayson,0,15
Hunt,0,15
Liberty,0,15
Moore,0,15
Donley,0,14
Rockwall,0,14
Rusk,0,14
Calhoun,0,13
Gray,0,12
Harrison,1,12
Hockley,1,12
Waller,0,12
Hood,1,11
Walker,0,11
Andrews,0,10
Castro,1,10
Erath,1,10
Navarro,2,10
Hale,1,9
Kendall,0,9
Medina,1,9
Parker,0,9
Wilson,0,9
Brown,0,8
De Witt,0,8
Fayette,0,8
Lamar,0,8
Polk,0,8
Austin,0,7
Deaf Smith,0,7
Limestone,1,7
Maverick,0,7
Milam,0,7
Panola,1,7
San Augustine,1,7
San Patricio,0,7
Starr,0,7
Van Zandt,1,7
Cherokee,0,6
Colorado,0,6
Henderson,0,6
Hill,0,6
Terry,0,6
Upshur,0,6
Uvalde,0,6
Val Verde,0,6
Atascosa,0,5
Burleson,0,5
Burnet,0,5
Caldwell,0,5
Dawson,1,5
Grimes,0,5
Willacy,1,5
Blanco,0,4
Cass,0,4
Fannin,0,4
Hopkins,0,4
Jackson,0,4
Lavaca,0,4
Palo Pinto,0,4
Titus,0,4
Wood,0,4
Camp,0,3
Comanche,0,3
Eastland,0,3
Goliad,0,3
Live Oak,0,3
Llano,0,3
Lynn,0,3
Oldham,1,3
San Jacinto,0,3
Trinity,0,3
Wise,0,3
Young,0,3
Zapata,0,3
Anderson,0,2
Aransas,0,2
Crane,0,2
Gonzales,0,2
Hutchinson,0,2
Jasper,0,2
Jim Wells,0,2
Karnes,0,2
Kerr,0,2
Kleberg,0,2
Lampasas,0,2
Lee,0,2
Leon,0,2
Martin,0,2
Morris,0,2
Robertson,0,2
Swisher,0,2
Bandera,0,1
Bee,0,1
Callahan,0,1
Clay,0,1
Crosby,0,1
Dallam,0,1
Delta,0,1
Dickens,0,1
Falls,0,1
Floyd,0,1
Franklin,0,1
Frio,0,1
Gaines,0,1
Gillespie,0,1
Hamilton,0,1
Hansford,0,1
Hemphill,0,1
Jack,0,1
Jones,0,1
Knox,0,1
Lamb,0,1
McCulloch,0,1
Mason,0,1
Mitchell,0,1
Montague,0,1
Newton,0,1
Pecos,0,1
Tyler,0,1
