County of Residence,Deaths,Number of Cases
Harris,52,3907
Dallas,42,1877
Tarrant,29,929
Travis,14,900
Bexar,33,815
Fort Bend,15,627
Denton,14,521
Collin,10,477
Galveston,11,392
El Paso,4,346
Lubbock,25,330
Montgomery,6,308
Brazoria,3,259
Cameron,3,239
Webb,8,223
Hidalgo,1,217
Brazos,13,149
Jefferson,6,140
Williamson,4,124
Bell,3,110
Smith,1,103
Hays,0,93
Victoria,1,89
Nueces,0,83
Potter,2,79
Ellis,3,76
McLennan,3,74
Taylor,1,74
Randall,2,73
Hardin,2,65
Nacogdoches,6,64
Coryell,0,60
Wichita,0,56
Moore,0,52
Guadalupe,0,50
Matagorda,3,50
Ector,2,46
Gregg,0,46
Orange,0,46
Shelby,0,46
Washington,3,41
Comal,6,39
Tom Green,1,39
Walker,0,38
Bowie,1,37
Midland,2,35
Harrison,1,34
Johnson,1,34
Kaufman,0,33
Bastrop,1,32
Chambers,0,31
Wharton,0,31
Rockwall,0,30
Liberty,0,23
Donley,0,22
Hunt,2,22
Panola,1,22
Waller,0,20
Calhoun,0,19
Grayson,0,19
Angelina,0,17
Rusk,0,17
Navarro,2,16
Parker,0,16
Hockley,1,15
Hood,1,15
Kendall,0,14
Andrews,0,13
Gray,0,13
Medina,1,13
Austin,0,12
Erath,1,12
Fayette,0,12
Val Verde,0,12
Wilson,1,12
Brown,1,11
Castro,1,11
Deaf Smith,0,11
Hale,2,11
Henderson,0,11
Limestone,1,11
Polk,0,11
De Witt,0,10
Maverick,0,10
Terry,0,10
Van Zandt,1,10
Atascosa,0,9
San Augustine,1,9
Upshur,0,9
Burleson,0,8
Dawson,1,8
Hill,0,8
Milam,0,8
San Patricio,0,8
Titus,0,8
Burnet,0,7
Cherokee,1,7
Colorado,0,7
Grimes,0,7
Lamar,0,7
San Jacinto,0,7
Starr,0,7
Wise,0,7
Caldwell,0,6
Jasper,0,6
Uvalde,0,6
Willacy,1,6
Wood,0,6
Camp,0,5
Cass,0,5
Fannin,0,5
Goliad,0,5
Lynn,0,5
Montague,0,5
Palo Pinto,1,5
Pecos,0,5
Anderson,0,4
Blanco,0,4
Hopkins,0,4
Jackson,0,4
Lavaca,0,4
Leon,0,4
Swisher,0,4
Trinity,0,4
Young,1,4
Zapata,0,4
Bee,0,3
Clay,0,3
Comanche,0,3
Eastland,0,3
Hamilton,0,3
Hutchinson,0,3
Jack,0,3
Karnes,0,3
Kerr,0,3
Kleberg,1,3
Lampasas,0,3
Live Oak,0,3
Llano,0,3
McCulloch,0,3
Morris,0,3
Oldham,1,3
Tyler,0,3
Aransas,0,2
Bandera,0,2
Cooke,0,2
Crane,0,2
Dallam,0,2
Floyd,0,2
Gaines,0,2
Gonzales,0,2
Jim Wells,0,2
Jones,0,2
Lamb,0,2
Lee,0,2
Martin,0,2
Newton,0,2
Rains,0,2
Robertson,0,2
Winkler,0,2
Armstrong,0,1
Bosque,0,1
Callahan,0,1
Concho,0,1
Crosby,1,1
Delta,0,1
Dickens,0,1
Dimmit,0,1
Duval,0,1
Falls,0,1
Franklin,0,1
Freestone,0,1
Frio,0,1
Gillespie,0,1
Hansford,0,1
Hemphill,0,1
Howard,1,1
Knox,0,1
Madison,0,1
Mason,0,1
Mitchell,0,1
Motley,0,1
Stephens,0,1
Wilbarger,0,1
