County of Residence,Deaths,Number of Cases
Harris,103,5986
Dallas,94,3240
Tarrant,58,2088
Travis,42,1539
Bexar,44,1307
Fort Bend,24,973
El Paso,14,857
Denton,20,738
Collin,19,692
Montgomery,12,562
Galveston,24,554
Lubbock,43,507
Brazoria,6,476
Potter,6,430
Cameron,16,387
Webb,15,349
Hidalgo,6,315
Jefferson,19,298
Moore,3,295
Williamson,7,287
Taylor,3,277
Walker,2,212
Randall,3,200
Brazos,16,188
Bell,3,180
Hays,1,161
Ellis,6,143
Nacogdoches,6,141
Washington,14,140
Smith,3,139
Victoria,3,127
Coryell,2,105
Shelby,0,101
Hardin,3,99
Nueces,3,99
McLennan,4,87
Harrison,1,84
Kaufman,0,83
Guadalupe,0,80
Panola,1,80
Ector,4,78
Midland,6,75
Rockwall,1,75
Orange,1,70
Bowie,1,69
Gregg,0,69
Bastrop,2,67
Johnson,4,67
Wichita,2,64
Matagorda,3,60
Comal,6,52
Lamar,0,51
Angelina,0,49
Hunt,2,44
Tom Green,1,44
Gray,0,42
Chambers,0,41
Liberty,0,41
Jones,0,37
Wharton,0,36
Brown,3,34
Rusk,1,33
Wilson,2,31
Calhoun,3,30
Navarro,2,30
Parker,0,30
Waller,0,30
Grayson,0,27
Deaf Smith,0,26
Ochiltree,1,25
Donley,0,24
Hale,4,24
Henderson,0,24
Anderson,0,23
Dawson,1,21
Hockley,1,20
Andrews,0,19
Medina,2,19
Polk,0,19
Fannin,0,18
Gonzales,2,18
Hood,3,18
Wise,2,17
Atascosa,1,16
Burnet,0,16
Grimes,1,16
Hill,1,16
Kendall,0,16
Maverick,0,16
San Augustine,1,16
De Witt,1,15
Mason,0,15
Titus,0,15
Cherokee,1,14
Fayette,1,14
Milam,1,14
Sherman,0,14
Van Zandt,1,14
Austin,0,13
Cass,0,13
Castro,1,13
Hutchinson,0,13
Upshur,0,13
Willacy,1,13
Burleson,0,12
Erath,1,12
Jasper,0,12
Limestone,1,12
San Patricio,0,12
Val Verde,0,12
Caldwell,0,11
Colorado,0,10
Dallam,1,10
Terry,0,10
Marion,0,9
Pecos,0,9
San Jacinto,0,9
Starr,0,9
Swisher,0,9
Cooke,0,8
Kleberg,1,8
Trinity,0,8
Frio,0,7
Goliad,0,7
Palo Pinto,1,7
Wheeler,0,7
Wood,0,7
Zapata,0,7
Bandera,0,6
Blanco,0,6
Camp,0,6
Jackson,0,6
Montague,1,6
Parmer,0,6
Tyler,0,6
Uvalde,0,6
Bee,0,5
Hamilton,0,5
Hansford,0,5
Houston,0,5
Kerr,0,5
Lavaca,1,5
Leon,0,5
Live Oak,0,5
Lynn,1,5
Morris,0,5
Bosque,0,4
Falls,0,4
Hartley,0,4
Hopkins,0,4
Howard,1,4
Jack,0,4
Robertson,0,4
Young,1,4
Clay,0,3
Comanche,0,3
Eastland,0,3
Floyd,0,3
Freestone,0,3
Jim Hogg,0,3
Jim Wells,0,3
Karnes,0,3
Lamb,0,3
Lampasas,0,3
Llano,0,3
McCulloch,0,3
Oldham,1,3
Winkler,0,3
Aransas,0,2
Armstrong,0,2
Callahan,0,2
Carson,0,2
Cottle,0,2
Crane,0,2
Crosby,1,2
Duval,0,2
Gaines,0,2
Lee,0,2
Lipscomb,0,2
Madison,0,2
Martin,0,2
Newton,0,2
Rains,0,2
Roberts,0,2
Scurry,0,2
Brooks,0,1
Childress,0,1
Cochran,0,1
Concho,0,1
Delta,0,1
Dickens,0,1
Dimmit,0,1
Franklin,0,1
Gillespie,0,1
Hemphill,0,1
Knox,0,1
La Salle,0,1
Mitchell,0,1
Motley,0,1
Nolan,0,1
Red River,0,1
Runnels,0,1
Sabine,0,1
Stephens,0,1
Wilbarger,0,1
Yoakum,0,1
Zavala,0,1
