County of Residence,Number of Cases
Bell,3
Bexar,24
Bowie,1
Brazoria,12
Brazos,2
Brown,1
Cameron,6
Castro,1
Chambers,3
Collin,21
Comal,3
Crane,1
Dallas,30
Deaf Smith,1
Denton,12
DeWitt,1
El Paso,6
Ellis,3
Fannin,1
Fort Bend,11
Galveston,9
Gregg,1
Harris,27
Hays,6
Hockley,2
Johnson,2
Lavaca,1
Lubbock,2
Matagorda,3
McLennan,7
Medina,1
Midland,1
Montgomery,4
Nueces,1
Oldham,1
Potter,2
Rusk,1
Smith,5
Tarrant,8
Travis,22
Webb,4
Wichita,3
Williamson,9
Pending County Assignment,69
