County of Residence,Deaths,Number of Cases
Harris,71,4653
Dallas,60,2324
Tarrant,38,1229
Travis,23,1092
Bexar,38,992
Fort Bend,17,755
Denton,16,592
Collin,13,522
El Paso,8,505
Galveston,15,450
Lubbock,28,419
Montgomery,7,377
Brazoria,3,304
Cameron,6,298
Webb,11,267
Hidalgo,3,255
Brazos,16,169
Jefferson,9,167
Williamson,4,151
Taylor,2,142
Potter,2,130
Bell,3,126
Smith,1,121
Hays,1,109
Moore,0,106
Randall,3,103
Victoria,1,93
Nueces,0,90
Nacogdoches,6,89
Ellis,3,83
Walker,0,77
McLennan,4,76
Coryell,1,75
Hardin,2,73
Shelby,0,60
Wichita,2,59
Ector,4,58
Bowie,1,57
Guadalupe,0,57
Washington,4,52
Gregg,0,51
Matagorda,3,51
Orange,0,49
Harrison,1,44
Bastrop,1,43
Comal,6,43
Kaufman,0,42
Midland,3,42
Tom Green,1,41
Johnson,1,39
Panola,1,37
Chambers,0,35
Rockwall,0,34
Wharton,0,34
Liberty,0,32
Rusk,1,27
Hunt,2,26
Waller,0,24
Angelina,0,23
Donley,0,23
Calhoun,1,21
Parker,0,21
Wilson,1,21
Navarro,2,20
Andrews,0,19
Grayson,0,19
Gray,0,17
Hockley,1,16
Fayette,0,15
Hood,2,15
Medina,2,15
Kendall,0,14
Polk,0,14
San Augustine,1,14
Brown,1,13
De Witt,0,13
Henderson,0,13
Austin,0,12
Dawson,1,12
Deaf Smith,0,12
Erath,1,12
Hale,2,12
Maverick,0,12
Val Verde,0,12
Van Zandt,1,12
Cass,0,11
Castro,1,11
Limestone,1,11
Milam,0,11
Atascosa,1,10
Grimes,1,10
Hill,1,10
Terry,0,10
Titus,0,9
Upshur,0,9
Wise,2,9
Anderson,0,8
Burleson,0,8
Burnet,0,8
Cherokee,1,8
Colorado,0,8
San Jacinto,0,8
San Patricio,0,8
Willacy,1,8
Caldwell,0,7
Fannin,0,7
Hutchinson,0,7
Lamar,0,7
Sherman,0,7
Starr,0,7
Trinity,0,7
Camp,0,6
Jasper,0,6
Kleberg,1,6
Palo Pinto,1,6
Uvalde,0,6
Wood,0,6
Zapata,0,6
Bee,0,5
Goliad,0,5
Hamilton,0,5
Leon,0,5
Lynn,0,5
Montague,0,5
Morris,0,5
Pecos,0,5
Tyler,0,5
Bandera,0,4
Blanco,0,4
Hopkins,0,4
Jackson,0,4
Kerr,0,4
Lavaca,0,4
Swisher,0,4
Young,1,4
Clay,0,3
Comanche,0,3
Cooke,0,3
Dallam,0,3
Eastland,0,3
Freestone,0,3
Jack,0,3
Jones,0,3
Karnes,0,3
Live Oak,0,3
Llano,0,3
McCulloch,0,3
Marion,0,3
Oldham,1,3
Winkler,0,3
Aransas,0,2
Crane,0,2
Floyd,0,2
Gaines,0,2
Gonzales,0,2
Jim Wells,0,2
Lamb,0,2
Lampasas,0,2
Lee,0,2
Madison,0,2
Martin,0,2
Newton,0,2
Rains,0,2
Roberts,0,2
Robertson,0,2
Armstrong,0,1
Bosque,0,1
Callahan,0,1
Carson,0,1
Childress,0,1
Concho,0,1
Crosby,1,1
Delta,0,1
Dickens,0,1
Dimmit,0,1
Duval,0,1
Falls,0,1
Franklin,0,1
Frio,0,1
Gillespie,0,1
Hansford,0,1
Hemphill,0,1
Houston,0,1
Howard,1,1
Knox,0,1
La Salle,0,1
Mason,0,1
Mitchell,0,1
Motley,0,1
Parmer,0,1
Red River,0,1
Sabine,0,1
Scurry,0,1
Stephens,0,1
Wilbarger,0,1
Yoakum,0,1
Zavala,0,1
