County of Residence,Deaths,Number of Cases
Harris,80,5211
Dallas,65,2683
Tarrant,44,1430
Travis,28,1263
Bexar,39,1126
Fort Bend,18,870
El Paso,10,645
Denton,19,644
Collin,14,584
Galveston,21,491
Lubbock,39,470
Montgomery,7,440
Brazoria,3,382
Cameron,9,321
Webb,12,302
Hidalgo,4,281
Jefferson,13,224
Potter,5,204
Taylor,3,185
Brazos,16,177
Moore,2,172
Williamson,5,167
Bell,3,153
Hays,1,140
Walker,1,136
Randall,3,125
Smith,3,125
Ellis,4,111
Nacogdoches,6,110
Victoria,2,105
Hardin,2,91
Nueces,1,90
Coryell,1,86
Shelby,0,85
McLennan,4,81
Washington,6,77
Midland,4,67
Bowie,1,66
Guadalupe,0,64
Ector,4,62
Wichita,2,62
Harrison,1,61
Panola,1,61
Orange,0,59
Kaufman,0,58
Matagorda,3,57
Gregg,0,55
Bastrop,2,53
Johnson,1,50
Rockwall,0,48
Comal,6,47
Tom Green,1,41
Chambers,0,39
Hunt,2,37
Liberty,0,36
Wharton,0,36
Angelina,0,31
Rusk,1,28
Gray,0,27
Navarro,2,25
Waller,0,25
Wilson,2,25
Donley,0,24
Calhoun,2,23
Henderson,0,22
Parker,0,22
Andrews,0,19
Grayson,0,19
Dawson,1,18
Hockley,1,18
Deaf Smith,0,17
Medina,2,17
Polk,0,17
Hale,4,16
Fayette,0,15
Hood,2,15
Kendall,0,15
San Augustine,1,15
Anderson,0,14
Atascosa,1,14
Burnet,0,14
De Witt,1,14
Hill,1,14
Maverick,0,14
Wise,2,14
Brown,1,13
Castro,1,13
Fannin,0,13
Milam,0,13
Van Zandt,1,13
Austin,0,12
Erath,1,12
Titus,0,12
Upshur,0,12
Val Verde,0,12
Burleson,0,11
Limestone,1,11
San Patricio,0,11
Caldwell,0,10
Cass,0,10
Colorado,0,10
Grimes,1,10
Jasper,0,10
Sherman,0,10
Terry,0,10
Willacy,1,10
Hutchinson,0,9
Cherokee,1,8
San Jacinto,0,8
Kleberg,1,7
Lamar,0,7
Palo Pinto,1,7
Starr,0,7
Trinity,0,7
Zapata,0,7
Bee,0,6
Blanco,0,6
Camp,0,6
Goliad,0,6
Jackson,0,6
Marion,0,6
Montague,1,6
Pecos,0,6
Swisher,0,6
Tyler,0,6
Uvalde,0,6
Wood,0,6
Hamilton,0,5
Kerr,0,5
Lavaca,0,5
Leon,0,5
Live Oak,0,5
Lynn,1,5
Morris,0,5
Bandera,0,4
Cooke,0,4
Gonzales,0,4
Hopkins,0,4
Houston,0,4
Jack,0,4
Jones,0,4
Young,1,4
Bosque,0,3
Clay,0,3
Comanche,0,3
Dallam,1,3
Eastland,0,3
Floyd,0,3
Freestone,0,3
Karnes,0,3
Llano,0,3
McCulloch,0,3
Oldham,1,3
Parmer,0,3
Winkler,0,3
Aransas,0,2
Crane,0,2
Gaines,0,2
Hansford,0,2
Hartley,0,2
Howard,1,2
Jim Wells,0,2
Lamb,0,2
Lampasas,0,2
Lee,0,2
Madison,0,2
Martin,0,2
Newton,0,2
Rains,0,2
Roberts,0,2
Robertson,0,2
Scurry,0,2
Armstrong,0,1
Brooks,0,1
Callahan,0,1
Carson,0,1
Childress,0,1
Cochran,0,1
Concho,0,1
Crosby,1,1
Delta,0,1
Dickens,0,1
Dimmit,0,1
Duval,0,1
Falls,0,1
Franklin,0,1
Frio,0,1
Gillespie,0,1
Hemphill,0,1
Jim Hogg,0,1
Knox,0,1
La Salle,0,1
Mason,0,1
Mitchell,0,1
Motley,0,1
Red River,0,1
Sabine,0,1
Stephens,0,1
Wheeler,0,1
Wilbarger,0,1
Yoakum,0,1
Zavala,0,1
