County of Residence,Deaths,Number of Cases,Recoveries,Active
Harris,179,8176,3138,4568
Dallas,145,6123,2606,3121
Tarrant,104,3745,806,2786
Travis,65,2171,720,1347
Bexar,57,1920,978,867
Fort Bend,40,1404,240,1107
El Paso,33,1348,685,622
Potter,17,1179,175,934
Denton,25,946,458,439
Collin,29,939,605,285
Montgomery,17,724,255,428
Galveston,29,686,408,248
Brazoria,9,673,345,307
Lubbock,50,598,314,229
Moore,9,535,218,299
Cameron,23,527,283,207
Webb,17,437,209,209
Hidalgo,8,394,223,158
Jefferson,26,385,216,140
Williamson,14,380,217,147
Randall,3,379,109,246
Walker,2,342,154,186
Brazos,18,278,120,133
Bell,3,223,135,82
Nacogdoches,9,221,100,102
Ellis,11,216,112,88
Coryell,2,211,21,185
Taylor,6,210,184,18
Hays,2,203,117,84
Harrison,9,189,70,107
Smith,3,177,121,50
Washington,22,170,35,111
Shelby,5,158,83,64
Victoria,6,150,108,37
Panola,8,149,63,73
Nueces,3,147,78,51
Gregg,0,132,60,58
Kaufman,1,127,63,56
Angelina,1,117,30,70
Bastrop,2,117,35,73
Hardin,3,115,79,33
Rockwall,4,113,47,52
Johnson,4,107,50,49
Midland,12,107,35,55
Grayson,0,105,39,52
Ector,4,100,72,23
Guadalupe,0,99,64,33
Jones,0,96,11,84
Lamar,4,96,8,77
McLennan,4,94,86,4
Orange,2,85,57,26
Bowie,2,80,58,16
Gray,0,76,32,43
Wichita,2,75,52,21
Liberty,1,70,33,32
Deaf Smith,1,67,21,38
Comal,6,65,48,11
Matagorda,3,62,51,8
Gonzales,2,59,9,48
Tom Green,1,59,39,19
Hunt,3,58,32,22
Anderson,0,50,16,25
Chambers,0,50,41,9
Henderson,0,46,20,21
Parker,0,45,21,24
Grimes,1,42,8,33
Wharton,0,42,32,9
Maverick,0,41,14,12
Polk,0,40,16,19
Rusk,1,40,28,11
Hale,4,39,23,10
Brown,6,38,17,15
Medina,2,38,15,15
Waller,0,38,26,11
Titus,0,37,13,22
Calhoun,3,36,24,9
Navarro,2,36,25,9
Wilson,4,36,23,9
Frio,0,34,3,31
Caldwell,0,31,6,24
Wise,2,31,11,17
Dawson,1,30,17,12
Ochiltree,1,29,3,25
Burnet,0,28,11,15
Mason,0,28,4,24
Atascosa,1,27,11,12
Red River,0,27,1,8
Fayette,1,26,9,15
Donley,0,25,22,4
Castro,1,23,11,11
Cherokee,1,23,10,7
Fannin,1,23,14,8
Sherman,0,23,11,12
Andrews,0,22,17,4
Hutchinson,0,22,11,10
San Augustine,1,22,11,9
San Patricio,0,22,11,11
Hill,1,21,8,10
Hood,3,21,13,3
Parmer,0,21,3,16
Hockley,1,20,17,2
Kendall,0,20,15,4
Milam,1,20,12,7
Jasper,1,19,10,8
Pecos,0,19,7,8
Van Zandt,1,18,11,6
Cass,0,17,11,9
DeWitt,1,17,13,1
Upshur,0,17,12,5
Burleson,0,16,3,12
Colorado,0,16,9,7
Dallam,0,16,6,8
Austin,0,15,11,4
Jackson,0,15,6,8
Limestone,1,15,6,8
Marion,0,15,7,8
Wood,0,15,6,8
Erath,1,14,11,2
Houston,0,14,3,10
Starr,0,14,7,7
Wheeler,0,14,4,10
Willacy,1,14,10,3
Hansford,2,13,3,7
Swisher,0,13,8,4
Val Verde,0,13,11,2
Cooke,0,12,3,9
Terry,0,12,9,3
Kleberg,1,11,7,3
San Jacinto,0,11,8,3
Trinity,0,11,7,4
Hartley,2,9,3,3
Kerr,0,9,4,5
Leon,0,9,3,6
Montague,1,9,4,4
Morris,0,9,4,5
Palo Pinto,2,9,6,1
Hopkins,0,8,4,4
Lamb,0,8,3,4
Lampasas,0,8,2,6
Camp,0,7,5,2
Freestone,0,7,2,5
Goliad,0,7,6,1
Hamilton,0,7,3,4
Jim Wells,0,7,3,4
