County of Residence,Deaths,Number of Cases,Recoveries,Active
Harris,204,9465,3563,5359
Dallas,176,7455,3398,3682
Tarrant,123,4447,1470,2759
Travis,77,2459,892,1456
Potter,23,2129,326,1780
Bexar,62,2120,1071,987
El Paso,47,1772,903,777
Fort Bend,40,1559,327,1191
Denton,28,1069,557,466
Collin,31,1028,695,290
Montgomery,18,798,277,503
Brazoria,11,767,380,344
Galveston,31,702,434,236
Cameron,27,619,398,194
Lubbock,50,619,373,196
Randall,4,602,142,456
Moore,12,567,325,216
Williamson,19,481,261,183
Webb,18,477,284,175
Hidalgo,10,440,253,162
Jefferson,26,436,264,146
Walker,26,423,244,151
Brazos,18,325,144,156
Bell,3,248,149,96
Ellis,12,247,143,112
Nacogdoches,17,239,144,77
Nueces,3,234,88,143
Coryell,2,224,26,196
Hays,3,219,144,72
Taylor,6,217,289,45
Harrison,19,202,114,69
Smith,3,189,135,51
Washington,22,181,39,120
Shelby,5,175,100,70
Gregg,0,170,79,91
Panola,15,162,108,39
Victoria,7,156,125,22
Grayson,0,152,66,81
Kaufman,1,147,75,80
Angelina,1,139,30,108
Rockwall,5,134,72,70
Bowie,3,133,66,64
Bastrop,2,132,41,89
Johnson,4,123,69,61
Deaf Smith,6,122,30,86
Midland,12,120,39,69
Hardin,4,117,93,20
Lamar,9,116,55,52
Ector,4,114,76,37
Jones,0,112,50,62
Guadalupe,0,110,78,33
Titus,1,102,18,77
McLennan,4,98,89,4
Gray,0,93,49,42
Orange,2,87,65,20
Gonzales,2,85,20,59
Houston,0,79,6,70
Wichita,2,78,57,19
Liberty,3,75,41,31
Maverick,0,74,21,53
Comal,6,70,56,8
Hunt,3,66,43,20
Grimes,1,65,10,54
Matagorda,5,63,56,2
Tom Green,1,61,50,10
Medina,2,58,17,31
Parker,0,57,31,31
Anderson,0,54,26,28
Chambers,0,53,44,9
Brown,7,51,25,19
Henderson,0,48,25,23
Polk,0,47,16,31
Hale,4,44,33,7
Wharton,0,43,36,6
Rusk,1,42,31,10
Ochiltree,2,41,14,24
Waller,0,40,30,10
Dawson,1,38,21,16
Navarro,2,38,27,9
Caldwell,0,36,7,29
Calhoun,3,36,27,6
Wilson,5,36,26,5
Wise,2,36,19,16
Frio,0,35,8,27
Red River,0,35,1,34
Cherokee,1,34,14,19
Parmer,0,34,6,20
Mason,0,31,19,12
Atascosa,1,30,16,13
Fayette,2,29,9,18
Burnet,0,28,14,14
Hutchinson,0,28,13,12
Castro,1,27,13,13
Donley,0,26,24,1
San Patricio,0,26,17,9
Fannin,2,25,16,7
Camp,0,24,7,14
Milam,1,24,18,5
Hockley,1,23,18,4
Jasper,1,23,15,7
Sherman,0,23,14,9
Andrews,0,22,19,3
Dallam,0,22,9,13
Hill,1,22,10,11
Hood,3,22,16,3
San Augustine,1,22,11,10
Van Zandt,1,22,14,7
Kendall,0,21,16,5
Cass,0,20,13,6
Pecos,0,20,9,11
Austin,0,19,13,6
Burleson,0,18,3,15
Colorado,0,18,9,9
Upshur,0,18,14,4
Wood,0,18,9,9
DeWitt,1,17,13,3
Starr,0,17,9,9
Hansford,2,16,6,8
Erath,1,15,11,4
Jackson,1,15,12,1
Limestone,1,15,8,6
