County of Residence,Deaths,Number of Cases
Harris,98,5827
Dallas,84,3105
Tarrant,53,2019
Travis,42,1464
Bexar,44,1275
Fort Bend,22,957
El Paso,12,829
Denton,20,725
Collin,17,676
Galveston,24,548
Montgomery,10,530
Lubbock,43,504
Brazoria,5,464
Potter,6,396
Cameron,14,376
Webb,15,346
Hidalgo,5,310
Moore,3,294
Jefferson,19,288
Williamson,6,287
Taylor,3,255
Walker,2,200
Randall,3,191
Brazos,16,182
Bell,3,173
Hays,1,155
Nacogdoches,6,141
Smith,3,139
Washington,11,136
Ellis,5,133
Victoria,3,127
Coryell,1,105
Shelby,0,101
Nueces,3,99
Hardin,3,96
McLennan,4,87
Harrison,1,84
Panola,1,80
Ector,4,76
Kaufman,0,75
Midland,5,74
Bowie,1,69
Gregg,0,69
Guadalupe,0,69
Orange,0,64
Wichita,2,63
Johnson,3,62
Matagorda,3,60
Bastrop,2,59
Rockwall,1,58
Lamar,0,51
Comal,6,49
Angelina,0,46
Hunt,2,44
Tom Green,1,44
Chambers,0,41
Liberty,0,39
Gray,0,38
Wharton,0,36
Brown,3,34
Rusk,1,33
Waller,0,31
Calhoun,3,30
Wilson,2,29
Navarro,2,28
Deaf Smith,0,26
Parker,0,25
Donley,0,24
Grayson,0,24
Hale,4,24
Henderson,0,24
Ochiltree,1,24
Anderson,0,23
Dawson,1,21
Hockley,1,20
Andrews,0,19
Medina,2,19
Polk,0,18
Fannin,0,17
Hood,2,17
Atascosa,1,16
Grimes,1,16
Kendall,0,16
Maverick,0,16
San Augustine,1,16
Burnet,0,15
De Witt,1,15
Hill,1,15
Titus,0,15
Wise,2,15
Cherokee,1,14
Fayette,1,14
Gonzales,2,14
Milam,1,14
Sherman,0,14
Van Zandt,1,14
Cass,0,13
Castro,1,13
Hutchinson,0,13
Jones,0,13
Limestone,1,13
San Patricio,0,13
Upshur,0,13
Willacy,1,13
Austin,0,12
Burleson,0,12
Erath,1,12
Jasper,0,12
Val Verde,0,12
Caldwell,0,11
Colorado,0,10
Terry,0,10
Kleberg,1,9
Marion,0,9
Pecos,0,9
San Jacinto,0,9
Swisher,0,9
Dallam,1,8
Starr,0,8
Trinity,0,8
Goliad,0,7
Palo Pinto,1,7
Wood,0,7
Zapata,0,7
Bandera,0,6
Blanco,0,6
Camp,0,6
Jackson,0,6
Montague,1,6
Parmer,0,6
Tyler,0,6
Uvalde,0,6
Bee,0,5
Hamilton,0,5
Hansford,0,5
Houston,0,5
Kerr,0,5
Lavaca,1,5
Leon,0,5
Live Oak,0,5
Lynn,1,5
Mason,0,5
Morris,0,5
Wheeler,0,5
Bosque,0,4
Cooke,0,4
Frio,0,4
Hartley,0,4
Hopkins,0,4
Howard,1,4
Jack,0,4
Young,1,4
Clay,0,3
Comanche,0,3
Eastland,0,3
Falls,0,3
Floyd,0,3
Freestone,0,3
Jim Hogg,0,3
Jim Wells,0,3
Karnes,0,3
Lamb,0,3
Lampasas,0,3
Llano,0,3
McCulloch,0,3
Oldham,1,3
Winkler,0,3
Aransas,0,2
Armstrong,0,2
Callahan,0,2
Crane,0,2
Crosby,1,2
Duval,0,2
Gaines,0,2
Lee,0,2
Madison,0,2
Martin,0,2
Newton,0,2
Rains,0,2
Roberts,0,2
Robertson,0,2
Scurry,0,2
Brooks,0,1
Carson,0,1
Childress,0,1
Cochran,0,1
Concho,0,1
Cottle,0,1
Delta,0,1
Dickens,0,1
Dimmit,0,1
Franklin,0,1
Gillespie,0,1
Hemphill,0,1
Knox,0,1
La Salle,0,1
Lipscomb,0,1
Mitchell,0,1
Motley,0,1
Nolan,0,1
Red River,0,1
Runnels,0,1
Sabine,0,1
Stephens,0,1
Wilbarger,0,1
Yoakum,0,1
Zavala,0,1
