County of Residence,Deaths,Number of Cases
Harris,67,4460
Dallas,55,2190
Tarrant,35,1175
Travis,21,1074
Bexar,37,959
Fort Bend,17,755
Denton,15,585
Collin,12,521
El Paso,7,482
Galveston,14,438
Lubbock,28,407
Montgomery,7,370
Brazoria,3,302
Cameron,5,279
Webb,11,253
Hidalgo,3,242
Jefferson,9,167
Brazos,15,164
Williamson,4,146
Bell,3,126
Taylor,2,126
Smith,1,116
Potter,2,110
Hays,1,109
Moore,0,99
Randall,3,97
Nueces,0,89
Victoria,1,89
Nacogdoches,6,88
Ellis,3,83
McLennan,4,76
Coryell,1,75
Walker,0,68
Hardin,2,67
Shelby,0,60
Ector,4,58
Wichita,0,58
Bowie,1,56
Guadalupe,0,53
Matagorda,3,51
Gregg,0,50
Washington,4,50
Orange,0,48
Comal,6,43
Bastrop,1,42
Harrison,1,42
Kaufman,0,42
Midland,3,42
Tom Green,1,41
Johnson,1,39
Panola,1,37
Chambers,0,35
Rockwall,0,34
Wharton,0,34
Liberty,0,29
Rusk,1,27
Hunt,2,25
Angelina,0,23
Donley,0,23
Waller,0,22
Calhoun,0,21
Parker,0,21
Navarro,2,20
Andrews,0,19
Grayson,0,19
Wilson,1,19
Gray,0,17
Fayette,0,15
Hockley,1,15
Hood,2,15
Medina,2,15
Kendall,0,14
Polk,0,14
San Augustine,1,14
De Witt,0,13
Henderson,0,13
Austin,0,12
Brown,1,12
Dawson,1,12
Erath,1,12
Maverick,0,12
Val Verde,0,12
Van Zandt,1,12
Castro,1,11
Deaf Smith,0,11
Hale,2,11
Limestone,1,11
Atascosa,1,10
Cass,0,10
Grimes,1,10
Hill,1,10
Terry,0,10
Milam,0,9
Upshur,0,9
Wise,2,9
Burleson,0,8
Burnet,0,8
Cherokee,1,8
Colorado,0,8
San Jacinto,0,8
San Patricio,0,8
Titus,0,8
Willacy,1,8
Caldwell,0,7
Fannin,0,7
Hutchinson,0,7
Lamar,0,7
Sherman,0,7
Starr,0,7
Trinity,0,7
Anderson,0,6
Camp,0,6
Jasper,0,6
Palo Pinto,1,6
Uvalde,0,6
Wood,0,6
Zapata,0,6
Bee,0,5
Goliad,0,5
Hamilton,0,5
Kleberg,1,5
Leon,0,5
Lynn,0,5
Montague,0,5
Pecos,0,5
Tyler,0,5
Bandera,0,4
Blanco,0,4
Hopkins,0,4
Jackson,0,4
Kerr,0,4
Lavaca,0,4
Morris,0,4
Swisher,0,4
Young,1,4
Clay,0,3
Comanche,0,3
Cooke,0,3
Dallam,0,3
Eastland,0,3
Freestone,0,3
Jack,0,3
Jones,0,3
Karnes,0,3
Live Oak,0,3
Llano,0,3
McCulloch,0,3
Marion,0,3
Oldham,1,3
Winkler,0,3
Aransas,0,2
Crane,0,2
Floyd,0,2
Gaines,0,2
Gonzales,0,2
Jim Wells,0,2
Lamb,0,2
Lampasas,0,2
Lee,0,2
Madison,0,2
Martin,0,2
Newton,0,2
Rains,0,2
Roberts,0,2
Robertson,0,2
Armstrong,0,1
Bosque,0,1
Callahan,0,1
Carson,0,1
Concho,0,1
Crosby,1,1
Delta,0,1
Dickens,0,1
Dimmit,0,1
Duval,0,1
Falls,0,1
Franklin,0,1
Frio,0,1
Gillespie,0,1
Hansford,0,1
Hemphill,0,1
Howard,1,1
Knox,0,1
La Salle,0,1
Mason,0,1
Mitchell,0,1
Motley,0,1
Red River,0,1
Sabine,0,1
Scurry,0,1
Stephens,0,1
Wilbarger,0,1
Yoakum,0,1
Zavala,0,1
