Gender,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07
Male,43.0,43.0,40.0,44.0,40.0,41.0,45.0,46.0,47.0,44.0,45.0,45.0,45.0,45.0,45.0,45.0,47.0,48.0,48.0,46.0,47.0,47.0,47.0,47.0,47.0,49.0,49.0,51.0,51.0,49.0,49.0,49.0,48.0,49.0,50.0,50.0,49.0,49.0,49.0,49.0,49.0
Female,57.0,57.0,60.0,56.0,60.0,59.0,55.0,54.0,53.0,56.0,55.0,55.0,55.0,55.0,55.0,55.0,53.0,52.0,52.0,54.0,53.0,53.0,53.0,53.0,53.0,51.0,51.0,49.0,49.0,51.0,51.0,51.0,51.0,51.0,50.0,50.0,51.0,51.0,51.0,51.0,51.0
